Year,Number,Name,Year,Number,Name,Year,Number,Name,Extra_Data_1
1968–1969,RCNC90,John F. Frank,1975–1976,3661,Terry Yates,1976–1977,5533,Glenn Allen,341
1977–1978,3172,Marshall Soule,1980–1981,3251,Jim Tremain,1981–1982,2897,Herb Pitts,489
1986–1987,5604,Ken Smee,1987–1988,3010,Peter McLoughlin,1992–1993,H3356,Robin Cumine,962
1993–1994,5244,Tony Downs,1994–1995,H7543,Senator Joseph A. Day,1995–1996,5739,Andre Costin,996
1996–1997,3550,Murray Johnston,1997–1998,8813,John D. Gibson,1998–1999,G0055,Valerie Keyes (first female),428
1999–2000,8833,John Leggat,2000–2001,5758,Michael Morres,2001–2002,16461,Ian MacKinnon,373
2002–2003,6777,Michel Charron,2003–2004,7776,Chris Lythgo,2004–2005,7943,J. William K. Lye,238
2005–2006,10080,Robert Booth,2007–2008,6776,Tim Sparling,2008–2009,15988,Jeff Kearns,972
2010,16412,Gord Clarke,2011,19307,David Benoit,2012,9889,Robert Benn,70
2013,M0058,Marc Drolet (first UTPNCM),,,,,,,288
