Year,Number,Name,Year,Number,Name,Year,Number,Name,Unused_1
1884–1885,7,Lukin Homphrey Irving (first),1886–1887,18,Duncan MacPherson,1888,4,William Mahlon Davis,
1889–1890,6,Septimus Julius Augustus Denison,1891,10,Victor Brereton Rivers,1892,86,Reuben Wells Leonard,
1893–1894,37,E.H. Drury,1895–1896,15,Francis Joseph Dixon,1897,48,A.K. Kirkpatrick,
1898,57,H.S. Greenwood,1899,14,John Bray Cochrane,1900,41,Robert Cartwright,
1901,154,F.M. Gaudet,1902,47,Ernest Frederick Wurtele,1903,21,A.E. Doucet,
1904,82,Wallace Bruce Matthews Carruthers,1905,188,W.A.H. Kerr,1906,186,V.A.S. Williams,
1907,139,C.R.F. Coutlee,1908,232,John Houlison,1909,91,J.D. Gibson,
1910,63,George Hooper,1911,255,H.A. Panet,1912,246,Major-General Sir Henry Edward Burstall,
1913,268,Henry Robert Visart de Bury et de Bocarmé,1914; 1919,299,"Col. Harry J. Lamb DSO, VD",1920,293,C.J. Armstrong,
1920–1922,392,W.B. Kingsmill,1923,377,A.C. Caldwell,1924,140,G.S. Cartwright,
1925,499,Edouard de B. Panet,1926,631,A.B. Gillies,1927,623,S.B. Coristine,
