Year,Number,Name,Year,Number,Name,Year,Number,Name
1928,555,R.R. Carr-Harris,1929,667,E.G. Hanson,1929–1930,SUO,G.D. de S. Wotherspoon
1930–1931,1119,J.H. Price,1932,472,A.R. Chipman,1933–1934,805,Colin W. G. Gibson
1935,727,D.A. White,1936–1937,877,G.L. Magann,1938–1939,1003,A.M. Mitchell
1940–1941,803,J.V. Young,1942–1943,1141,W.H. O'Reilly,1944,698,Everett Bristol
1945,982,D.W. MacKeen,1946,1841,D.G. Cunningham,1947,1230,S.H. Dobell
1948,1855,Ian S. Johnston,1949,1625,J.D. Watt,1950,1542,E.W. Crowe
1951,1860,Nicol Kingsmill,1952,1828,Ted G.E. Beament,1953,1620,R.R. Labatt
1954,1766,Ken H. Tremain,1955,1474,de L.H.M Panet,1956,2034,Paul Y. Davoud
1957,1954,W.P. Carr,1960,1379,H.A. Mackenzie,1961,2157,J.H.R. Gagnon
1962,2183,James E. Pepall,1963,2336,J.H. Moore,1964,2351,Guy Savard
1965,2749,James B. Cronyn,1966,2601,J. Fergus Maclaren,1967,2791,Jean P.W. Ostiguy
