Country,URL,Opening date,Closing date,Country,URL,Opening date,Closing date,Unused_1,Unused_2
Finland,habbo.fi,August 2000,—,Spain,habbo.es,September 2003,—,,
France,habbo.fr,November 2004,—,Sweden,habbo.se,December 2003,—,,
Germany,habbo.de,March 2004,—,Switzerland (links to Habbo Germany due to merge),habbo.ch,August 2001,"October 4, 2010",,
Italy,habbo.it,September 2003,—,United States (links to Habbo English due to merge),habbo.com,September 2004,"June 10, 2010",,
Japan (links to English),habbo.jp,February 2003,"April 16, 2009",Venezuela (links to Habbo Spain),habbo.com.ve,July 2006,—,,
Netherlands,habbo.nl,February 2004,—,UK & Ireland (links to Habbo English due to the merge),habbo.co.uk habbo.ie,"January 4, 2001","June 10, 2010",,
Peru (links to Habbo Spain),habbo.com.pe,—,—,India (links to Habbo English),habbo.com,February 2011,—,,
"English-language UK & IE, US, CA, AU, NZ, SG, RU, MY, JP and PH merged into one",habbo.com,"May 5, 2010",—,Poland (links to Habbo English),habbo.com,February 2011,January 2012,,
Romania (links to Habbo English),habbo.com,February 2011,January 2012,Panama (links to Habbo Spain),habbo.es,—,—,,
Turkey,habbo.com.tr,August 2012,—,,,,,,
