Song,Artists,Release,Year,Notes
"\All of You\""""","Riz MC, Aruba Red, Plan B",MICroscope,2012,Original 2011 recording does not feature Plan B
"\Atomic\""""","Labrinth, Plan B",Atomic,2013,
"\Before I Die\"" (remix)""","Professor Green, Narstie, Ghetto, Plan B, Example","\Before I Die\""""",2006,
"\Bring It Back\""""","Juse, J.B., Plan B, Tyna",Global Casino,2006,
"\Broken Wings\""""","MC Purple, Doctor, Plan B","Eye of the Tiger, Vol. 1",2005,
"\Cap Back\""""","Wonder, Plan B",Run the Road,2005,
"\End Credits\""""","Chase & Status, Plan B",No More Idols,2011,
"\Everyday\"" (Rusher remix)""","Shameless, Example, Plan B","\Everyday (In a Broken Dream)\""""",2007,
"\Fool Yourself\""""","Chase & Status, Plan B, Rage",No More Idols,2011,
"\Harry\"" (Plan B remix)""","Medison, Skrein, Plan B","\Harry\""""",2010,
"\How's It Feel\""""","Skrein, Wyt-Fang, Plan B",The Eat Up,2007,Also appears on It's Time 4 Plan B (2006)
"\I Wanna Get Next to You\"" (remix)""","Danielle Senior, Plan B, Wretch 32, Blemish","\Take You Home\""""",2006,
"\Last Dayz\""""","Skreintax, Plan B","\Scene Stealers\""""",2009,
"\Makin' Love 2 Hip Hop\""""","Plan B, Skrein, Shameless",Sharpest Tool in the Box,2007,
