Song,Artists,Release,Year,Notes,Irrelevant_1
"\Maybe\""""","Skrein, Shameless, Plan B, Sem",Bless: The Mixtape,2007,,L9qbR
"\More Is Enough\""""","Epic Man, Plan B","\More Is Enough\""""",2006,Also appears as bonus track on Australian release of Who Needs Actions When You Got Words (2006) and on Time 4 Plan B EP (2007),NhHUEgy
"\My Eyes\""""","Shameless, TB, Plan B, Dat",Bless: The Mixtape,2007,,cAVsUcqC
"\No Hats No Trainers\""""","Shameless, Plan B",Smokers Die Younger,2007,,Hig4w
"\On It 08\""""","Adam Deacon, Plan B, Snakeyman, Blazay, Alphadecious",Adulthood,2008,,YaGhnrM
"\Past That\""""","Shameless, Plan B",Above Board,2006,,2SBcf
"\Pieces\""""","Chase & Status, Plan B",More than Alot,2008,,qSJRn
"\Play Ur Position\""""","Juse, Conspicuous, Anecdote, Shameless, Plan B, Infallible, Cyphanetik",Global Casino,2006,,A8XK5D
"\Polarised Nation\""""","Carly Bond, Ripper, Hitman Tigger, Doctor, Plan B, Riddles, Doom-Man, Faction G, TKO Punisha","Eye of the Tiger, Vol. 1",2005,,Z1pa6
"\Reveal Your Inner Self\"" (Plan B remix)""","Killa Kela, Plan B","\Reveal Your Inner Self\""""",2007,,5otg5fh
"\Shifty\""""","Riz MC, Sway, Plan B",Shifty,2009,,Es6JNQg
"\Shots Echo\""""","The Mitchell Brothers, Plan B, Ghetto",Dressed for the Occasion,2007,,alLeZA
"\Tik Tok\""""","Skrein, Plan B","The Southcoast Soulshine EP, Vol. 1",2007,,7yDifx
