Representative,State,District(s),Served,Party,Date of birth,Date of death,Age
Howard W. Robison,New York,"37, 33, 27",1958–1975,Republican,"October 30, 1915","September 26, 1987","71 years, 331 days"
John N. Camp,Oklahoma,6,1969–1975,Republican,"May 11, 1908","September 27, 1987","79 years, 139 days"
Ray J. Madden,Indiana,1,1943–1977,Democratic,"February 25, 1892","September 28, 1987","95 years, 215 days"
Raymond W. Karst,Missouri,12,1949–1951,Democratic,"December 31, 1902","October 4, 1987","84 years, 277 days"
Charles J. Carney,Ohio,19,1970–1979,Republican,"April 17, 1913","October 7, 1987","74 years, 173 days"
Clare Boothe Luce,Connecticut,4,1943–1947,Republican,"March 10, 1903","October 9, 1987","84 years, 213 days"
John E. Sheridan,Pennsylvania,4,1939–1947,Democratic,"September 15, 1902","November 12, 1987","85 years, 58 days"
Harold Washington,Illinois,1,1981–1983,Democratic,"April 15, 1922","November 25, 1987","65 years, 224 days"
Abraham Kazen,Texas,23,1967–1985,Democratic,"January 17, 1919","November 29, 1987","68 years, 316 days"
Eugene Siler,Kentucky,"8, 5",1970–1979,Republican,"June 26, 1900","December 5, 1987","87 years, 162 days"
Albert P. Morano,Connecticut,4,1951–1959,Republican,"January 18, 1908","December 16, 1987","79 years, 332 days"
Monroe M. Redden,North Carolina,12,1947–1953,Democratic,"September 24, 1901","December 16, 1987","86 years, 83 days"
