School,Location,Outright Titles,Shared Titles,Runners-Up,Total Finals,Last Title,Last Final
Royal School Dungannon,Dungannon,1,0,4,5,1907,1975
Annadale Grammar School (now Wellington College),Belfast,1,0,1,2,1958,1978
Ballyclare High School,Ballyclare,1,0,1,2,1973,2012
Belfast Boys' Model School,Belfast,1,0,0,1,1971,1971
Grosvenor High School,Belfast,1,0,0,1,1983,1983
Wallace High School,Lisburn,0,0,4,4,N/A,2007
Derry Academy,Derry,0,0,2,2,N/A,1896
Dalriada School,Ballymoney,0,0,1,1,N/A,1993
Galway Grammar School,Galway,0,0,1,1,N/A,1887
Lurgan College,Lurgan,0,0,1,1,N/A,1934
Omagh Academy,Omagh,0,0,1,1,N/A,1985
Sullivan Upper School,Holywood,0,0,1,1,N/A,2014
