School,Location,Outright Titles,Shared Titles,Runners-Up,Total Finals,Last Title,Last Final,Noise_Field_1
Methodist College Belfast,Belfast,35,2,25,62,2014,2014,DTBXyZvV
Royal Belfast Academical Institution,Belfast,29,4,21,54,2007,2013,vpbkpZE
Campbell College,Belfast,23,4,12,39,2011,2011,zpMCnc
Coleraine Academical Institution,Coleraine,9,0,24,33,1992,1998,WDSuc
"The Royal School, Armagh",Armagh,9,0,3,12,2004,2004,jDwpYHn
Portora Royal School,Enniskillen,6,1,5,12,1942,1942,axdFg
Bangor Grammar School,Bangor,5,0,4,9,1988,1995,QjAJw
Ballymena Academy,Ballymena,3,0,6,9,2010,2010,xDhqYkX
Rainey Endowed School,Magherafelt,2,1,2,5,1982,1982,rjgHsU
Foyle College,Londonderry,2,0,4,6,1915,1915,eRlpTY
Belfast Royal Academy,Belfast,1,3,5,9,1997,2010,KhrOnyS
Regent House Grammar School,Newtownards,1,1,2,4,1996,2008,dIJJeSC
