Pos,No,Rider,Manufacturer,Laps,Time,Grid,Points,Random_Column_1,Noise_Field_2
1,46,Valentino Rossi,Yamaha,21,43:06.007,2,25,WRFChD,iBheRdQy
2,2,Dani Pedrosa,Honda,21,+4.008,1,20,HAf9hU6c,ZPIZY
3,4,Andrea Dovizioso,Honda,21,+8.536,6,16,JzZFQROz,HWaWySmD
4,69,Nicky Hayden,Honda,21,+8.858,4,13,4fwC2,FPRcK
5,56,Shinya Nakano,Honda,21,+10.583,15,11,hTXpGr,acsigrHi
6,1,Casey Stoner,Ducati,21,+13.640,7,10,pOrfnl,DfMYYfk
7,65,Loris Capirossi,Suzuki,21,+15.936,8,9,69IYiT1P,PmsABuEU
8,5,Colin Edwards,Yamaha,21,+18.802,5,8,d2xDL1,uQVUPtF
9,7,Chris Vermeulen,Suzuki,21,+23.174,11,7,16LV6Y,imTTu
10,14,Randy de Puniet,Honda,21,+25.516,9,6,jcZYEo,OYoBninh
