No.,Date,Home team,Visiting team,Goals,Score,Result,Venue,Competition,Extra_Data_1,Filler_2,Dummy_Col_3
23.,31 Apr 2004,Malta,Finland,86' 0–2,1–2,Win,"Ta' Qali National Stadium, Valletta",Friendly,913,OwFGAd,cCZDkPme
24.,28 May 2004,Finland,Sweden,8' 1–0 (pen.),1–3,Loss,"Ratina Stadion, Tampere",Friendly,85,cNGgNL,Codzo
25.,26 Mar 2005,Czech Republic,Finland,46 ' 2–1,4–3,Loss,"Na Stinadlech, Teplice",2006 FIFA World Cup qualification,243,crOQAb,laoeR
26.,2 Sep 2006,Poland,Finland,54' 0–1 76' 0–2 (pen.),1–3,Win,"Zdzisław Krzyszkowiak, Bydgoszcz",UEFA Euro 2008 qualifying,104,dRgmVhut,BiwQGYBc
27.,2 Sep 2006,Poland,Finland,54' 0–1 76' 0–2 (pen.),1–3,Win,"Zdzisław Krzyszkowiak, Bydgoszcz",UEFA Euro 2008 qualifying,889,OMbqvQu,rmOElVd
28.,11 Oct 2006,Kazakhstan,Finland,29' 0–1,0–2,Win,"Almaty Central Stadium, Almaty",UEFA Euro 2008 qualifying,710,jVNocnG,gCiDL
29.,6 Feb 2008,Finland,Greece,66' 1–0,1–2,Loss,"Neo GSP Stadium, Nicosia",Friendly,439,EVhbSA,aeZex
30.,26 Mar 2008,Bulgaria,Finland,22' 0–1 (pen.),2–1,Loss,"Vasil Levski National Stadium, Sofia",Friendly,64,pGgFZ,yQKcM
31.,9 Sep 2009,Liechtenstein,Finland,74' 0–1 (pen.),1–1,Draw,"Rheinpark Stadion, Vaduz",2010 FIFA World Cup qualification,440,GXZAHBai,soGLx
32.,17 Nov 2010,Finland,San Marino,71' 6–0 (pen.),8–0,Win,Helsinki Olympic Stadium,UEFA Euro 2012 qualifying,867,iShgk,qmwta
