No.,Date,Home team,Visiting team,Goals,Score,Result,Venue,Competition,Filler_1,Random_Column_2,Extra_Data_3
12.,6 Sep 1997,Switzerland,Finland,16' 0–1,1–2,Win,"Stade Olympique de la Pontaise, Lausanne",1998 FIFA World Cup qualification,OQYjsnR,bTk5Lb,762
13.,14 Oct 1998,Turkey,Finland,90+6' 1–3,1–3,Win,"Ali Sami Yen Stadium, Istanbul",UEFA Euro 2000 qualifying,Ysqaebk,kzviNgG,389
14.,29 Mar 2000,Wales,Finland,21' 0–1,1–2,Win,"Millennium Stadium, Cardiff",Friendly,MQddXmO,AfVkqwXO,912
15.,16 Aug 2000,Finland,Norway,24' 1–0 61' 2–1,3–1,Win,"Finnair Stadium, Helsinki",2000–01 Nordic Football Championship,qCvnetA,wV5JRRkg,302
16.,16 Aug 2000,Finland,Norway,24' 1–0 61' 2–1,3–1,Win,"Finnair Stadium, Helsinki",2000–01 Nordic Football Championship,phiHHgLC,SnETNaQ,501
17.,2 Sep 2000,Finland,Albania,45 ' 1–0,2–1,Win,"Finnair Stadium, Helsinki",2002 FIFA World Cup qualification,EXmVGBU,knZsnd,128
18.,15 Aug 2001,Finland,Belgium,3–0 (pen.),4–1,Win,Helsinki Olympic Stadium,Friendly,RTmfcnaZ,vGomtVp,194
19.,5 Sep 2001,Finland,Greece,53' 5–1,5–1,Win,Helsinki Olympic Stadium,2002 FIFA World Cup qualification,mNdSd,fb3y7TtY,178
20.,27 Mar 2002,Portugal,Finland,41' 1–3 53' 1–4,1–4,Win,"Estádio do Bessa, Porto",Friendly,xZHyc,N0yUdPMR,800
21.,27 Mar 2002,Portugal,Finland,41' 1–3 53' 1–4,1–4,Win,"Estádio do Bessa, Porto",Friendly,ECyXtug,Gx3bvy,206
22.,30 Apr 2003,Finland,Iceland,55' 1–0 (pen.),3–0,Win,"Pohjola Stadion, Myyrmäki, Vantaa",Friendly,DCGKxe,zxQP4D,357
