Number,Author,First line,Notes,Irrelevant_1,Unused_2,Unused_3
11,Bartholomew Griffin,\Venus," with young Adonis sitting by her\""""",9BqDlP,,
12,Thomas Deloney?,"\Crabbed age and youth cannot live together\""""","Was reprinted with additional stanzas in Thomas Deloney's The Garden of Good Will entered into the Stationer's Register in March 1593. Deloney died in 1600; he might be the author of 12, though collections of his verse issued after his death contain poems by other authors. Critic Hallett Smith has identified poem 12 as the one most often favoured by readers as possibly Shakespearean – \but there is nothing to support the attribution.\""""",nQIVVn93,,
13,Unknown,"\Beauty is but a vain and doubtful good\""""",In the same six-line stanza format as Venus and Adonis.,akfZd2gT,,
14,Unknown,\Good-night, good rest,u8q0Bk,,
15,Unknown,\It was a lording's daughter," the fairest one of three\""""",szr3tY,,
16,William Shakespeare,"\On a day (alack the day)\""""",Dumaine's poem to Catherine in Love's Labour's Lost 4.3.99—118. Reprinted in England's Helicon (1600).,iBtfl,,
17,Unknown,\My flockes feed not," my ewes breed not\""""",jMV3K,,
18,Unknown,"\When as thine eye hath chose the dame\""""",Three versions of the poem exist in manuscript miscellanies.,HAnUOFAD,,
19,Christopher Marlowe & Sir Walter Raleigh,"\Live with me and be my love\""""","An inferior text of Marlowe's poem \The Passionate Shepherd to His Love\"" followed by the first stanza of Sir Walter Raleigh's \""The Nymph's Reply to the Shepherd\""""",mwGz0eBy,,
20,Richard Barnfield,"\As it fell upon a day\""""",First published in Poems in Divers Humors (1598).,jBPAxw,,
