Number,Author,First line,Notes
1,William Shakespeare,"\When my love swears that she is made of truth\""""","First publication, later appears as Sonnet 138 in Shakespeare's sonnets."
2,William Shakespeare,\Two loves I have," of comfort and despair\"""""
3,William Shakespeare,"\Did not the heavenly rhetoric of thine eye\""""",A Version of Longaville's sonnet to Maria in Love's Labour's Lost 4.3.58—71.
4,Unknown,\Sweet Cytherea," sitting by a brook\"""""
5,William Shakespeare,\If love make me forsworn," how shall I swear to love?\"""""
6,Unknown,"\Scarce had the sun dried up the dewy morn\""""","On the theme of Venus and Adonis, as is Shakespeare's narrative poem."
7,Unknown,\Fair is my love," but not so fair as fickle\"""""
8,Richard Barnfield,"\If music and sweet poetry agree\""""",First published in Poems in Diverse Humours (1598).
9,Unknown,"\Fair was the morn when the fair queen of love\""""","On the theme of Venus and Adonis, as is Shakespeare's narrative poem."
10,Unknown,\Sweet rose, fair flower
