Name,Country,Top rugby league level,Top union level,Top representation level,Rugby League Debut,Rugby Union Debut,Unused_1
Ben MacDougall,Australia,NRL,Celtic League,Scotland (RU),1998,2006,
Stephen Myler,England,Super League,English Premiership,England Saxons (RU),2001,2006,
Henry Paul,New Zealand,NRL,English Premiership,"New Zealand (RL), England (RU)",1993,2001,
Jason Robinson,England,Super League,English Premiership,"Great Britain (RL), England Captain and Lions (RU)",1991,1996,
Mat Rogers,Australia,NRL,Super Rugby,Australia (RL/RU),1995,2002,
Wendell Sailor,Australia,NRL,Super Rugby,Australia (RL/RU),1993,2002,
Clinton Schifcofske,Australia,NRL/Super League,Super Rugby,State of Origin {RL}/Australia A (RU),1996,2006,
Timana Tahu,Australia,NRL,Super Rugby,Australia (RL/RU),1999,2008,
Alan Tait,Scotland,Super League,Celtic League,"Scotland (RL/RU), Great Britain (RL), British & Irish Lions (RU)",1988,1996,
Brad Thorn,Australia,NRL,Super Rugby,"Australia (RL), New Zealand (RU)",1994,2001,
Lote Tuqiri,Australia,NRL,Super Rugby,"Australia (RL/RU), Fiji (RL)",1999,2003,
Lesley Vainikolo,England,"NRL, Super League",English Premiership,"New Zealand (RL), England (RU)",2002,2007,
Andrew Walker,Australia,NRL,Super Rugby,Australia (RL/RU),1991,2000,
