Name,Country,Top rugby league level,Top union level,Top representation level,Rugby League Debut,Rugby Union Debut,Noise_Field_1,Unused_2,Unused_3
Karmichael Hunt,"New Zealand, Australia",National Rugby League,"Top 14, Biarritz Olympique",Australia (RL),2004,2009,yXHLRl,,
Chris Ashton,England,Super League,English Premiership,"England (RL), England (RU)",2005,2007,nLwmNYd,,
Lee Smith,England,Super League,English Premiership,"England (RL), Great Britain (RL)",2005,2009,EOKKphM,,
Berrick Barnes,Australia,NRL,Super Rugby,Australia (RU),2005,2006,RUWYcuP,,
Nathan Blacklock,Australia,NRL/Super League,Super 12,Australia (RL),1995,2003,xDFysQ,,
Willie Carne,Australia,NRL,Super Rugby,Australia (RL),1990,1997,OwOJZrw,,
Brian Carney,Ireland,Super League/NRL,Celtic League,"Great Britain (RL), Ireland (RU)",1999,2007,YejpD,,
Ryan Cross,Australia,NRL,Super Rugby,Australia (RU),1998,2007,FvPsc,,
Andy Farrell,England,Super League,English Premiership,"Great Britain (RL), England (RU)",1991,2005,katJy,,
Paul Franze,Australia,NRL,English Premiership,"Australia (RL), London Irish(RU)",2002,2006,etotyaV,,
Iestyn Harris,Wales,Super League,"Heineken Cup, Celtic League","Great Britain (RL), Wales(RU)",1993,2001,SNlUnpW,,
Sam Harris,Australia,NRL,Super Rugby,"Australian Schoolboys (RU), City v. Country (RL)",2003,2007,CdBbbAo,,
Wise Kativerata,Australia,NRL,Shute Shield,Australia Sevens (RU),2001,2004,GNDIVLe,,
