Pick,Player,Team,Position,School
11,Josh McKinley,Montreal Expos,SS,"Malvern Prep (Malvern, PA)"
12,Adam Everett,Boston Red Sox,SS,University of South Carolina
13,J.M. Gold,Milwaukee Brewers,P,"Toms River HS North (Toms River, NJ)"
14,Jeff Weaver,Detroit Tigers,P,Fresno State University
15,Clint Johnston,Pittsburgh Pirates,1B,Vanderbilt University
16,Kip Wells,Chicago White Sox,P,Baylor University
17,Brad Lidge,Houston Astros,P,University of Notre Dame
18,Seth Etherton,Anaheim Angels,P,University of Southern California
19,Tony Torcato,San Francisco Giants,OF,"Woodland HS (Woodland, CA)"
20,CC Sabathia,Cleveland Indians,P,"Vallejo HS (Vallejo, CA)"
