Pos,Rider,Manufacturer,Time/Retired,Grid,Points
14,Hugo Marchand,Aprilia,+1 Lap,19,2
15,Chaz Davies,Aprilia,+1 Lap,15,1
16,Héctor Faubel,Aprilia,+1 Lap,16,
17,Henk vd Lagemaat,Honda,+2 Laps,25,
18,Joan Olivé,Aprilia,+3 Laps,20,
Ret,Randy de Puniet,Aprilia,Retirement,4,
Ret,Christian Gemmel,Honda,Retirement,23,
Ret,Eric Bataille,Honda,Retirement,14,
Ret,Sebastián Porto,Honda,Retirement,2,
Ret,Katja Poensgen,Honda,Retirement,24,
Ret,Geoff Hardcastle,Yamaha,Retirement,26,
Ret,Alex Baldolini,Aprilia,Retirement,21,
Ret,Sylvain Guintoli,Aprilia,Retirement,6,
