Title,Genre,Sub­divisions,Libretto,Première date,"Place, theatre",Notes,Dummy_Col_1,Random_Column_2
"Zenobia, regina de’ Palmireni",dramma per musica,3 acts,Antonio Marchi,"1694, carnival","Venice, Teatro Santi Giovanni e Paolo","version of the score survives in Library of Congress, Washington",qSuOw,0tBHN
Il prodigio dell’innocenza,dramma,3 acts,Fulgenzio Maria Gualazzi,"1695, carnival","Venice, Teatro Santi Giovanni e Paolo",music lost,ndqydC,OPiDA
"Zenone, imperator d’Oriente",dramma per musica,3 acts,Antonio Marchi,"1696, autumn","Venice, Teatro S Cassiano",music lost,jAlPtW,nyCY3
"Il Tigrane, re d’Armenia",dramma per musica,3 acts,Giulio Cesare Corradi,"1697, carnival","Venice, Teatro S Cassiano",music lost,EpOxTD,2IBL0wH
"Primislao, primo re di Boemia",dramma per musica,3 acts,Giulio Cesare Corradi,"1697, autumn","Venice, Teatro S Cassiano",music lost,NbSlxp,J0GZf6i
L’ingratitudine castigata,dramma per musica,3 acts,Francesco Silvani,"1698, carnival","Venice, Teatro S Cassiano",music lost,gstMc,oYyHguOR
Radamisto,dramma per musica,3 acts,Antonio Marchi,"1698, autumn","Venice, Teatro Sant'Angelo",music lost,ISijNy,rwy6cF
Diomede punito da Alcide,dramma,3 acts,Aurelio Aureli,"1700, autumn","Venice, Teatro Sant'Angelo",music lost,LlSgl,cBZnSBV
L’inganno innocente,dramma per musica,3 acts,Francesco Silvani,"1701, carnival","Venice, Teatro Sant'Angelo","music lost, except some arias",EIRLYC,iERT5SE
L’arte in gara con l’arte,dramma per musica,3 acts,Francesco Silvani,"1702, carnival","Venice, Teatro S Cassiano",music lost,ofCePY,3AYLIrQ
Griselda,dramma per musica,3 acts,Apostolo Zeno,"1703, carnival","Florence, Cocomero","music lost, except three arias",CwUra,eHGTIoHy
