Title,Genre,Sub­divisions,Libretto,Première date,"Place, theatre",Notes,Irrelevant_1
Il trionfo di Armida,dramma per musica,3 acts,Girolamo Colatelli after Torquato Tasso,"1726, autumn","Venice, Teatro San Moisè",music lost,3awzbW
L’incostanza schernita,dramma comico-pastorale,3 acts,Vincenzo Cassani,"1727, Ascension","Venice, Teatro San Samuele","music lost, except some arias",p3k9wX
Le due rivali in amore,dramma per musica,3 acts,Aurelio Aureli,"1728, autumn","Venice, Teatro San Moisè",music lost,FMjfSwHf
Il Satrapone,intermezzo,,Salvi,1729,"Parma, Omodeo",,phBFey9I
Li stratagemmi amorosi,dramma per musica,3 acts,F Passerini,"1730, carnival","Venice, Teatro San Moisè",music lost,xIWIcFz
Elenia,dramma per musica,3 acts,Luisa Bergalli,"1730, carnival","Venice, Teatro Sant'Angelo",music lost,1AsUnREO
Merope,dramma,3 acts,Apostolo Zeno,"1731, autumn","Prague, Sporck Theater","mostly by Albinoni, music lost",iSLe6MW
Il più infedel tra gli amanti,dramma per musica,3 acts,Angelo Schietti,"1731, autumn","Treviso, Dolphin",music lost,ENIjw
Ardelinda,dramma,3 acts,Bartolomeo Vitturi,"1732, autumn","Venice, Teatro Sant'Angelo","music lost, except five arias",iYOKi
Candalide,dramma per musica,3 acts,Bartolomeo Vitturi,"1734, carnival","Venice, Teatro Sant'Angelo",music lost,dlKdb
Artamene,dramma per musica,3 acts,Bartolomeo Vitturi,"1741, carnival","Venice, Teatro Sant'Angelo",music lost,UxsSq4G
