Title,Genre,Sub­divisions,Libretto,Première date,"Place, theatre",Notes
Il Giustino,dramma per musica,5 acts,Pietro Pariati after Nicolò Beregan,"1711, spring","Bologna, Formagliari",music lost
La pace generosa,dramma per musica,3 acts,Francesco Silvani,"1711, autumn","Genoa, Falcone",music lost
Le gare generose,dramma per musica,3 acts,Antonio Zaniboni,"1712, autumn","Venice, Teatro S Cassiano","music lost, except five arias"
Lucio Vero,dramma per musica,3 acts,Apostolo Zeno,"1713, spring","Ferrara, S Stefano",music lost
L'amor di figlio non conosciuto,dramma per musica,3 acts,Domenico Lalli,"1716, carnival","Venice, Teatro Sant'Angelo",music lost
Eumene,dramma per musica,3 acts,Antonio Salvi,"1717, autumn","Venice, Teatro San Giovanni Grisostomo","music lost, except one aria"
Meleagro,dramma per musica,3 acts,Pietro Antonio Bernardoni,"1718, carnival","Venice, Teatro Sant'Angelo",music lost
Cleomene,dramma per musica,3 acts,Vincenzo Cassani,"1718, carnival","Venice, Teatro Sant'Angelo",music lost
Gli eccessi della gelosia,dramma per musica,3 acts,Domenico Lalli,"1722, carnival","Venice, Teatro Sant'Angelo","music lost, except some arias"
I veri amici,dramma per musica,3 acts,Francesco Silvani and Domenico Lalli after Pierre Corneille,"1722, October","Munich, Hof","music lost, except some arias"
Il trionfo d’amore,dramma per musica,3 acts,Pietro Pariati,"1722, November",Munich,music lost
