Title,Genre,Sub­divisions,Libretto,Première date,"Place, theatre",Notes
Aminta,dramma regio pastorale,3 acts,Apostolo Zeno,"1703, autumn","Florence, Cocomero",music lost
Il più fedel tra i vassalli,dramma per musica,3 acts,Francesco Silvani,"1705, autumn","Genoa, Falcone",music lost
La prosperità di Elio Sejano,dramma per musica,3 acts,Nicolò Minato,"1707, carnival","Genoa, Falcone",music lost
La fede tra gl’inganni,dramma per musica,3 acts,Francesco Silvani,"1707, Carnival","Venice, Teatro Sant'Angelo",music lost
La fortezza al cimento,melodramma,2 acts,Francesco Silvani,1707,"Piacenza, Ducale",music lost
Astarto,dramma per musica,3 acts,Apostolo Zeno and Pietro Pariati,"1708, autumn","Venice, Teatro S Cassiano","music lost, except some arias"
Pimpinone,intermezzo,3 intermezzos,Pietro Pariati,"1708, autumn","Venice, Teatro S Cassiano",
Engelberta,dramma per musica,3 acts,Apostolo Zeno and Pietro Pariati,"1709, carnival","Venice, Teatro S Cassiano",4th and 5th acts by Francesco Gasparini
Il tradimento tradito,dramma per musica,3 acts,Francesco Silvani,"1708, carnival","Venice, Teatro Sant'Angelo",music lost
Ciro,dramma per musica,3 acts,Pietro Pariati,"1710, carnival","Venice, Teatro S Cassiano",music lost
Il tiranno eroe,dramma per musica,3 acts,Vincenzo Cassani,"1711, carnival","Venice, Teatro S Cassiano",
