Title,Genre,Sub­divisions,Libretto,Première date,"Place, theatre",Notes,Extra_Data_1,Unused_2
Eumene,dramma per musica,3 acts,Apostolo Zeno,"1723, carnival","Venice, Teatro San Moisè","music lost, except 2 arias",951,
Ermengarda,dramma per musica,3 acts,Antonio Maria Lucchini,"1723, autumn","Venice, Teatro San Moisè",music lost,927,
"Antigono, tutore di Filippo, re di Macedonia",tragedia,5 acts,Giovanni Piazzon,"1724, carnival","Venice, Teatro San Moisè","5th act by Giovanni Porta, music lost",835,
Scipione nelle Spagne,dramma per musica,3 acts,Apostolo Zeno,"1724, Ascension","Venice, Teatro San Samuele",music lost,556,
Laodice,dramma per musica,3 acts,Angelo Schietti,"1724, autumn","Venice, Teatro San Moisè","music lost, except 2 arias",940,
Didone abbandonata,tragedia,3 acts,Metastasio,"1725, carnival","Venice, Teatro S Cassiano",music lost,949,
L'impresario delle Isole Canarie,intermezzo,2 acts,Metastasio,"1725, carnival","Venice, Teatro S Cassiano",music lost,920,
Alcina delusa da Ruggero,dramma per musica,3 acts,Antonio Marchi,"1725, autumn","Venice, Teatro S Cassiano",music lost,671,
I rivali generosi,dramma per musica,3 acts,Apostolo Zeno,1725,"Brescia, Nuovo",,142,
La Statira,dramma per musica,3 acts,Apostolo Zeno and Pietro Pariati,"1726, Carnival","Rome, Teatro Capranica",,343,
Malsazio e Fiammetta,intermezzo,,,"1726, Carnival","Rome, Teatro Capranica",,97,
