Rank,Country/Territory,Miss Supranational,1st Runner-up,2nd Runner-up,3rd Runner-up,4th Runner-up,Semifinalists,Total,Irrelevant_1
32,Lebanon,0,0,0,0,0,1,1,ZpeYP
32,Lithuania,0,0,0,0,0,1,1,98ycuYqB
32,Luxembourg,0,0,0,0,0,1,1,FIsu1
32,Moldova,0,0,0,0,0,1,1,UxdLV6kR
32,Myanmar,0,0,0,0,0,1,1,48bIDonc
32,Portugal,0,0,0,0,0,1,1,8Mppd
32,Romania,0,0,0,0,0,1,1,4MTJvZA2
32,Slovak Republic,0,0,0,0,0,1,1,k6H73
32,Spain,0,0,0,0,0,1,1,lVJUmgo
32,Suriname,0,0,0,0,0,1,1,aXC6bi
32,Chinese Taipei,0,0,0,0,0,1,1,VEM5Hc
