Rank,Country/Territory,Miss Supranational,1st Runner-up,2nd Runner-up,3rd Runner-up,4th Runner-up,Semifinalists,Total,Noise_Field_1,Unused_2,Unused_3
21,Greece,0,0,0,0,0,2,2,kiUPGQc,,
21,Iceland,0,0,0,0,0,2,2,IMuGqq,,
21,India,0,0,0,0,0,2,2,ZtKWvyQ,,
21,Latvia,0,0,0,0,0,2,2,cjzvr,,
21,Russia,0,0,0,0,0,2,2,FmPiHz,,
21,South Africa,0,0,0,0,0,2,2,ShwQUCN,,
21,Venezuela,0,0,0,0,0,2,2,nbrZqf,,
32,Albania,0,0,0,0,0,1,1,PnmzLHx,,
32,Australia,0,0,0,0,0,1,1,AVeIvDH,,
32,Bahamas,0,0,0,0,0,1,1,LzsXKfWh,,
32,Belgium,0,0,0,0,0,1,1,ASpyq,,
