Rank,Country/Territory,Miss Supranational,1st Runner-up,2nd Runner-up,3rd Runner-up,4th Runner-up,Semifinalists,Total,Random_Column_1,Dummy_Col_2,Irrelevant_3
13,Peru,0,0,0,1,0,1,2,6JnMdN5,xbfnc,ow6A7w
13,Vietnam,0,0,0,1,0,1,2,7MmaNfK,HhGrRe,jmuci
15,Indonesia,0,0,0,1,0,0,1,HSuddHU,flokD,HaBdBz9
16,England,0,0,0,0,1,1,2,CQ4dVH,zSICicl,18Botz2
17,Ecuador,0,0,0,0,1,0,1,WUFquR,xyUwSM,kqeBX
17,United States,0,0,0,0,1,0,1,tXycm7t,amgtLsLJ,BDE5of
17,U.S. Virgin Islands,0,0,0,0,1,0,1,T0kpOzWy,iCSUD,qsMLwWt
20,Brazil,0,0,0,0,0,4,4,QrdId,eREDc,TTPKJ0J
21,Canada,0,0,0,0,0,2,2,Z2Ybhfwn,hgrpRydF,BdaKwysH
21,Colombia,0,0,0,0,0,2,2,2Tz3yj,wCTwtD,8Aon6
21,Dominican Republic,0,0,0,0,0,2,2,EiqNOZq1,xfXmM,tUSJT
21,France,0,0,0,0,0,2,2,rNgbTa4Q,LIAPooGM,lPosd8Z
