Rank,Nation,Gold,Silver,Bronze,Total,Dummy_Col_1,Dummy_Col_2,Random_Column_3
13,Northern Mariana Islands,1,0,0,1,rWnFz,MltXBhWw,fYiU2
14,Guam,0,6,5,11,NecKJ,QmkXmAz,OxsYMj
15,Solomon Islands,0,5,17,22,qjFcA,MUvdzxCs,LusOp
16,Niue,0,3,3,6,SDqBl,qciPQqRr,kmzWI
17,Tuvalu,0,2,1,3,JtHtSUJ,gvjnQ,8fbDqw
18,Palau,0,1,3,4,HFDAROJ,ZtcDKVqw,vRv4s
19,American Samoa,0,0,0,0,DyxdaCfF,SvMfZ,pY88to
19,Marshall Islands,0,0,0,0,Mivqj,BwgCMsC,bbyxb
19,Norfolk Island,0,0,0,0,JDBzihSg,FIBlTj,4AyohwL5
19,Tokelau,0,0,0,0,XVemk,OUfBhLZ,M5O8vj
Total,Total,305,291,312,908,kirtMS,CROyo,Z1zEAw
