Year,Artist,Album,Chart Position,Role,Irrelevant_1,Filler_2,Extra_Data_3
1973,Willie Nelson,Shotgun Willie,#41 US,Recording Engineer,BrL1QRQ,UXVzqB,265
1973,Les McCann,Layers,#5 Jazz,Remastering Engineer,IyPnXny,qLnAm,211
1973,The Modern Jazz Quartet,Blues on Bach,#34 Jazz,Recording and Mixing Engineer,5asKTVIy,bIghu,91
1973,Donny Hathaway,Extension of a Man,"#18 R&B, #69 US",Recording Engineer,1AvjQV2,XXTHt,137
1973,Bee Gees,Mr. Natural,#178 US,Recording Engineer,yxhWm,QEbZicf,844
1974,The Modern Jazz Quartet,The Complete Last Concert,#34 Jazz,Mixing Engineer,1g9ur,jiobq,529
1976,The Rolling Stones,Black and Blue,#1 US,Recording Engineer,6HkQSg,JvqTiw,960
1976,Willie Nelson,The Troublemaker,"#1 Country, #60 US",Recording Engineer,RgmhIo9,fZooE,384
1977,Ben E. King,Benny & Us,"#14 R&B, #33 US",Recording Engineer,PAqAbFN,WwReTh,419
1979,Bette Midler,Thighs and Whispers,#65 US,Recording Engineer,8U2UL,eJOjKaKZ,311
1983,Paul Simon,Hearts and Bones,#35 US,Recording Engineer,XiDVq,oZcItcW,24
1993,David “Fathead” Newman,Bigger & Better,"#10 Jazz, #42 R&B",Remastering Engineer,f0fWLbKK,InNCuVf,614
