Year,Artist,Album,Chart Position,Role
1961,Eddie Harris,“Exodus” (single),"#16 R&B, #36 US",Remastering Engineer
1968,Eddie Harris,“It’s Crazy” (single),#88 US,Remastering Engineer
1969,Eddie Harris & Les McCann,Swiss Movement,"#1 Jazz, #2 R&B, #29 US",Remixing & Remastering Engineer
1969,R.B. Greaves,R.B. Greaves,"#24 R&B, #85 US",Mixing Engineer
1971,Eddie Harris & Les McCann,Second Movement,"#1 Jazz, # 41 US",Recording and Remastering Engineer
1971,Les McCann,Invitation to Openness,#8 Jazz,Remastering Engineer
1971,Donny Hathaway,Donny Hathaway,"#6 R&B, #89 US",Recording Engineer
1972,Roberta Flack & Donny Hathaway,Roberta Flack & Donny Hathaway,"#3 US, #2 R&B, #10 Jazz",Recording Engineer
1972,Cream,Live Cream Volume II,#27 US,Remixing Engineer
1972,Herbie Mann,"Hold On, I’m Coming",#7 Jazz,Mixing Engineer
1973,Bette Midler,Bette Midler,#6 US,Recording Engineer
1973,Hall & Oates,Abandoned Luncheonette,#33 US,Recording Engineer
