Season,Level,Name,Position,Nationality,Internationalcaps,Irrelevant_1,Dummy_Col_2,Random_Column_3
1994,1,John Wark*,Midfielder,Scotland,29,hxeZ8e,aSNJb,FbuIY
1995,1,Craig Forrest,Goalkeeper,Canada,56,PC7gjA9,PzqiRU,nIwB4p
1996,2,Simon Milton,Midfielder,England,—,HlbPrn,GBujy,0iim7QQE
1997,2,Mauricio Taricco,Defender,Argentina,—,ox3Lx,tKCpDp,1gXXF0N
1998,2,Matt Holland,Midfielder,Ireland,49,FG5Umf5r,HwdevMa,RJutGT
1999,2,Jamie Clapham,Defender,England,—,BatgM,goXGFgdQ,UtPP3iOK
2000,2,James Scowcroft,Striker,England,—,XjjLFnZ,aDxwTcl,Y7sfh99g
2001,1,Marcus Stewart,Striker,England,—,H51zcBh,QGCzc,udIoevmC
2002,1,Mark Venus,Defender,England,—,yNzl99hv,BfLMe,LXX14R
2003,2,Matt Holland,Midfielder,Ireland,49,fI6Ohx0,DWaTQfQk,AGcwY
