Season,Level,Name,Position,Nationality,Internationalcaps,Filler_1
1973,1,Kevin Beattie*,Defender,England,9,OfAAxA
1974,1,Kevin Beattie*,Defender,England,9,UnFBtV
1975,1,Colin Viljoen,Midfielder,England,2,rjQdCZy
1976,1,Allan Hunter*,Defender,Northern Ireland,53,Rozkvo
1977,1,George Burley*,Defender,Scotland,11,RZDKnGq
1978,1,Mick Mills*,Defender,England,42,FdSvv
1979,1,Arnold Mühren*,Midfielder,Netherlands,23,ZVvZp
1980,1,Frans Thijssen*,Midfielder,Netherlands,14,ZadqJ
1981,1,Paul Cooper,Goalkeeper,England,—,VdQgd
1982,1,Alan Brazil,Striker,Scotland,13,mfWuIG
1983,1,Paul Mariner,Striker,England,35,ACMfLe
