Year,Champion,Score,Runner-up,Coach
1954,Boston College,4–1,Harvard,"John \Snooks\"" Kelley"""
1956,Boston College,4–2,Harvard,"John \Snooks\"" Kelley"""
1957,Boston College,5–4 (OT),Boston University,"John \Snooks\"" Kelley"""
1959,Boston College,7–4,Boston University,"John \Snooks\"" Kelley"""
1961,Boston College,4–2,Harvard,"John \Snooks\"" Kelley"""
1963,Boston College,3–1,Harvard,"John \Snooks\"" Kelley"""
1964,Boston College,6–5,Boston University,"John \Snooks\"" Kelley"""
1965,Boston College,5–4,Boston University,"John \Snooks\"" Kelley"""
1976,Boston College,6–3,Boston University,Len Ceglarski
1983,Boston College,8–2,Northeastern,Len Ceglarski
