Medal,Name,Sport,Event,Date,Extra_Data_1,Irrelevant_2
Gold,"Louis Chaillot, Maurice Perrin",Cycling,Men's tandem,August 3,263,FxRqf
Gold,Xavier Lesage,Equestrian,Individual dressage,August 10,105,5sxjcM9
Gold,"André Jousseaume, Xavier Lesage,Charles Marion",Equestrian,Team dressage,August 10,110,GalmV
Gold,"Georges Buchard, Philippe Cattiau,Fernand Jourdant, Jean Piot,Bernard Schmetz, Georges Tainturier",Fencing,Men's team épée,August 7,74,bUY8E
Gold,"René Bondoux, René Bougnol,Philippe Cattiau, Edward Gardère,René Lemoine, Jean Piot",Fencing,Men's team foil,August 1,714,DDDHmFEY
Gold,Jacques Lebrun,Sailing,Snowbird class,August 12,128,lJSrvp
Gold,Raymond Suvigny,Weightlifting,Men's 60 kg,July 31,698,YWfNv0
Gold,René Duverger,Weightlifting,Men's 67.5 kg,July 30,15,okKC1koR
Gold,Louis Hostin,Weightlifting,Men's 82.5 kg,July 30,930,AVvumjOC
Gold,Charles Pacôme,Wrestling,Men's freestyle lightweight,August 3,742,GDxfH1t
