Rank,Team,Athletes,Run 1,Run 2,Run 3,Run 4,Final,Random_Column_1,Filler_2,Filler_3
Gold,Switzerland (SUI) Switzerland I,"Franz Kapus, Gottfried Diener, Robert Alt, & Heinrich Angst",1:18.00,1:17.19,1:17.09,1:18.16,5:10.44,5oguy7l,KcjStPuf,RHJxX
Silver,Italy (ITA) Italy II,"Eugenio Monti, Ulrico Girardi, Renzo Alverà, & Renato Mocellini",1:17.69,1:17.97,1:18.13,1:18.31,5:12.10,j16rWq5,cGqnZ,MPfcr
Bronze,United States (USA) USA I,"Arthur Tyler, William Dodge, Charles Butler, & James Lamy",1:17.75,1:17.87,1:18.25,1:18.52,5:12.39,E4rUYc,NhtmYkE,RsndPzPD
4,Switzerland (SUI) Switzerland II,"Max Angst, Aby Gartmann, Harry Warburton, & Rolf Gerber",1:17.41,1:17.85,1:18.68,1:20.33,5:14.27,KvhoB,kojXqA,VqmtUXNw
5,Italy (ITA) Italy I,"Dino De Martin, Giovanni De Martin, Giovanni Tabacchi, & Carlo Da Prà",1:18.10,1:18.65,1:18.50,1:19.41,5:14.66,FSiMeQ2a,sNOLvCr,WyDMPQId
6,Germany (GER) Germany I,"Hans Rösch, Michael Pössinger, Lorenz Nieberl, & Sylvester Wackerle",1:18.61,1:19.04,1:19.43,1:20.94,5:18.02,JKawd,gIxgSx,hLkYvz
7,Austria (AUT) Austria II,"Kurt Loserth, Wilfried Thurner, Karl Schwarzböck, & Franz Dominik",1:19.37,1:19.12,1:20.08,1:19.72,5:18.29,jYdMD,smYvowE,ufSmv
8,Germany (GER) Germany II,"Franz Schelle, Jakob Nirschl, Hans Henn, & Edmund Koller",1:19.03,1:18.84,1:19.31,1:21.35,5:18.50,sUOs3,cbYGiWgX,rUdWf
9,Spain (ESP) Spain I,"Alfonso de Portago, Vicente Sartorius y Cabeza de Vaca, Gonzalo Taboada, & Luis Muñoz",1:18.87,1:19.27,1:21.37,1:19.08,5:19.49,5fgaZbHD,AhgHBzs,WTisggt
10,Austria (AUT) Austria I,"Karl Wagner, Fritz Rursch, Adolf Tonn, & Heinrich Isser",1:19.60,1:20.74,1:19.98,1:20.30,5:20.62,rPeJIv,DFcPP,veVrPae
11,Norway (NOR) Norway I,"Arne Røgden, Arnold Dyrdahl, Odd Solli, & Trygve Brudevold",1:20.96,1:20.08,1:20.45,1:20.01,5:21.50,CogCY30a,UkEHr,YVhjj
