Type,Diagonal (mm),Width (mm),Height (mm),Area (mm2),Stops (area),Crop factor,Irrelevant_1,Random_Column_2,Irrelevant_3
"1/10\"",1.60""",1.28,0.96,1.23,-9.51,27.04,,97R6Z,OGqExwLs,UaCgNCc
"1/8\"",2.00""",1.60,1.20,1.92,-8.81,21.65,,JLhY1F,pNy9iMf,6s05N
"1/6\"",3.00""",2.40,1.80,4.32,-7.64,14.14,,hZWdrR,Wwutl,O6VOt8w
"1/4\"",4.00""",3.20,2.40,7.68,-6.81,10.81,,wnWLl8If,ilxIYNpQ,Q0rma6f
"1/3.6\ (Nokia Lumia 720)""",5.00,4.00,3.00,12.0,-6.16,8.65,mnTp03j2,HIXdU,3B772ZQ
"1/3.2\ (iPhone 5)""",5.68,4.54,3.42,15.50,-5.80,7.61,xgeI3,4Twz9Zdv,GKGa3zUb
Standard 8mm film frame,5.94,4.8,3.5,16.8,-5.73,7.28,eaYviLq,GTeqL1,gu3RfkV
"1/3\ (iPhone 5S)""",6.00,4.80,3.60,17.30,-5.64,7.21,Zlfth,hBvLJ,l3DvLp
"1/2.7\"",6.72""",5.37,4.04,21.70,-5.31,6.44,,Wba6jMT,08YK4Qgh,3jemKi
Super 8mm film frame,7.04,5.79,4.01,23.22,-5.24,6.15,WJmciP,8gLCztx,EwM9D
"1/2.5\ (Sony Cyber-shot DSC-T5)""",7.18,5.76,4.29,24.70,-5.12,6.02,slJsbE2r,QTw4E,cjy807
