Type,Diagonal (mm),Width (mm),Height (mm),Area (mm2),Stops (area),Crop factor
"1\ Digital Bolex d16""",16.00,12.80,9.60,123,-2.81,2.70
Blackmagic Cinema Camera EF,18.13,15.81,8.88,140,-2.62,2.38
"Four Thirds, Micro Four Thirds (\4/3\"""," \""m4/3\"")""",21.60,17.30,13,225,-1.94
"1.5\ Canon G1X""",23.36,18.70,14.00,262,-1.72,1.85
Blackmagic Production Camera 4K,24.23,21.12,11.88,251,-1.78,1.79
original Sigma Foveon X3,24.90,20.70,13.80,286,-1.60,1.74
"Canon EF-S, APS-C",26.70,22.20,14.80,329,-1.39,1.62
Standard 35mm film frame,27.20,22.0,16.0,352,-1.34,1.59
"APS-C (Nikon DX, Pentax K, Samsung NX, Sony α DT, Sony E)",28.2–28.4,23.6–23.7,15.60,368–370,-1.23,1.52–1.54
Super 35mm film frame,31.11,24.89,18.66,464,-0.95,1.39
