Sl No,ConstituencyName,ConstituencyNumber,Member of Legislative Assembly,Political Party,Dummy_Col_1,Filler_2
103,Ratabari,1,Kripanath Mallah,Indian National Congress,VAFDIC,XtTrbw
104,Rupahihat,85,Mazibur Rahman,All India United Democratic Front,pPOkUjz,LKHJSXn
105,Sadiya,126,Bolin Chetia,Indian National Congress,HYOHec,jLvtVYIR
106,Salmara South,22,Abdur Rahman Ajmal,All India United Democratic Front,hYjdm,wBewPU
107,Samaguri,88,Rockybul Hussain,Indian National Congress,wXJVdT,IXSSj
108,Sarukhetri,46,Ali Hossain,All India United Democratic Front,ZhknJL,lGdGvGA
109,Sarupathar,94,Aklius Tirkey,Indian National Congress,Pjxgwxb,vqqQw
110,Sibsagar,108,Pranab Gogoi,Indian National Congress,MnHmhLGA,jXMHC
111,Sidli,31,Sri Chandan Brahma,Bodoland Peoples Front,TXgYHx,OjqJD
112,Silchar,9,Sushmita Dev,Indian National Congress,gsbQdnC,yhtymOeq
113,Sipajhar,66,Binanda Kumar Saikia,Indian National Congress,dGHfobG,iQHVSZ
114,Sonai,10,Anamul Haque,Indian National Congress,ohNfOTC,idUTFU
