Sl No,ConstituencyName,ConstituencyNumber,Member of Legislative Assembly,Political Party,Filler_1,Noise_Field_2,Random_Column_3
66,Jorhat,98,Rana Goswami,Indian National Congress,euXyXPjU,hhJze,fJ8GLVl
67,Kalaigaon,65,Mukunda Ram Choudhury,Asom Gana Parishad,LqiMbMRT,jRumySiM,rhYuP5Nd
68,Kaliabor,89,Keshab Mahanta,Asom Gana Parishad,FZoytiuy,eCMXb,0fxlVRO
69,Kamalpur,56,Jadab Chandra Deka,Bharatiya Janata Party,WkrpOzl,xJUfVCm,zJHfRo
70,Karimganj North,3,Kamalakhya Dey Purkayastha,Indian National Congress,RNyVB,DJRIINr,4akVz
71,Karimganj South,4,Siddeque Ahmed,Indian National Congress,FyXwea,QZqIBz,SZca6u1
72,Katigorah,15,Ataur Rahman Mazarbhuiya,All India United Democratic Front,vQZrOwn,XiTXJwK,Go1cA
73,Katlicherra,7,Gautam Roy,Indian National Congress,XQiGzN,xwjxYbiG,c9UnNBZ
74,Khumtai,96,Bismita Gogoi,Indian National Congress,cEzdoUOh,NNUuJKXD,KnaqT5
75,Kokrajhar East,30,Pramila Rani Brahma,Bodoland Peoples Front,wjRaiybC,HVhfgjK,rUDKVYM
76,Kokrajhar West,29,Pradip Kumar Brahma,Bodoland Peoples Front,Kqces,nEHmLA,DZQDozCB
77,Laharighat,81,Dr. Nazrul Islam,Indian National Congress,yAClNBw,DPnent,YQfjfV6
78,Lahowal,117,Prithibi Majhi,Indian National Congress,pYuHP,FLqULTp,VqIql7Q
