Sl No,ConstituencyName,ConstituencyNumber,Member of Legislative Assembly,Political Party
91,Naharkatia,120,Pranati Phukan,Indian National Congress
92,Nalbari,59,Jayanta Malla Baruah,Indian National Congress
93,Naobaicha,110,Sanjay Raj Subba,Indian National Congress
94,Nazira,104,Debabrata Saikia,Indian National Congress
95,Nowgong,86,Dr. Durlav Chandra Chamua,Indian National Congress
96,Palasbari,50,Jatin Mali,Independent
97,Panery,64,Kamali Basumatari,Bodoland Peoples Front
98,Patacharkuchi,42,Manoranjan Das,Bharatiya Janata Party
99,Patharkandi,2,Monilal Gowala,Indian National Congress
100,Raha,82,Pijush Hazarika,Indian National Congress
101,Rangapara,74,Bhimananda Tanti,Indian National Congress
102,Rangia,57,Ghanashyam Kalita,Indian National Congress
