Sl No,ConstituencyName,ConstituencyNumber,Member of Legislative Assembly,Political Party
53,Golakganj,25,Abu Taher Bepari,Indian National Congress
54,Gossaigaon,28,Majendra Narzary,Bodoland Peoples Front
55,Hailakandi,6,Abdul Muhib Mazumder,Indian National Congress
56,Hajo,55,Dwipen Pathak,All India Trinamool Congress
57,Halflong,16,Gobinda Ch. Langthasa,Indian National Congress
58,Hojai,91,Dr. Ardhendu Kumar Dey,Indian National Congress
59,Howraghat,18,Khorsing Engti,Indian National Congress
60,Jagiroad,79,Bibekananda Dalai,Indian National Congress
61,Jaleswar,39,Moin Uddin Ahmed,All India United Democratic Front
62,Jalukbari,51,Himanta Biswa Sarma,Indian National Congress
63,Jamunamukh,90,Mohammed Sirajuddin Ajmal,All India United Democratic Front
64,Jania,44,Rafiqul Islam,All India United Democratic Front
65,Jonai,114,Pradan Baruah,Indian National Congress
