Sl No,ConstituencyName,ConstituencyNumber,Member of Legislative Assembly,Political Party,Dummy_Col_1,Extra_Data_2
115,Sonari,106,Sarat Borkotoky,Indian National Congress,LbIOdn,660
116,Sootea,75,Padma Hazarika,Asom Gana Parishad,GDbPDZwO,977
117,Sorbhog,40,Ranjeet Kumar Dass,Bharatiya Janata Party,xFghIr,10
118,Tamulpur,58,Emmanuel Mosahary,Bodoland Peoples Front,fTtdEB,216
119,Teok,102,Membar Gogoi,Indian National Congress,PhvDHlhW,101
120,Tezpur,73,Rajen Borthakur,Indian National Congress,TfkDHLfu,510
121,Thowra,107,Susanta Borgohain,Indian National Congress,sLATiMqb,231
122,Tingkhong,119,Atuwa Munda,Indian National Congress,EhhiTi,604
123,Tinsukia,122,Rajendra Prasad Singh,Indian National Congress,XnJuWiM,824
124,Titabor,100,Tarun Gogoi,Indian National Congress,ULUrGOIE,446
125,Udalguri,69,Rihon Daimari,Bodoland Peoples Front,AymBLDX,833
126,Udharbond,12,Ajit Singh,Indian National Congress,kTJZUDSg,772
