Sl No,ConstituencyName,ConstituencyNumber,Member of Legislative Assembly,Political Party
1,Abhayapuri North,34,Bhupen Ray,Asom Gana Parishad
2,Abhayapuri South,35,Chandan Kumar Sarkar,Indian National Congress
3,Algapur,8,Mandira Roy,Indian National Congress
4,Amguri,103,Anjan Dutta,Indian National Congress
5,Badarpur,5,Jamal Uddin Ahmed,Indian National Congress
6,Baghbor,45,Sherman Ali Ahmed,All India United Democratic Front
7,Baithalangso,20,Mansing Rongpi,Indian National Congress
8,Barama,62,Maneswar Brahma,Bodoland People's Front
9,Barhampur,87,Prafulla Kumar Mahanta,Asom Gana Parishad
10,Barkhetri,60,Bhumidhar Barman,Indian National Congress
11,Barkhola,14,Rumi Nath,Indian National Congress
12,Barpeta,43,Abdur Rahim Khan,All India United Democratic Front
13,Batadraba,84,Gautam Bora,Indian National Congress
