Sl No,ConstituencyName,ConstituencyNumber,Member of Legislative Assembly,Political Party
40,Digboi,123,Rameswar Dhanowar,Indian National Congress
41,Diphu,19,Bidya Sing Engleng,Indian National Congress
42,Dispur,52,Akon Bora,Indian National Congress
43,Doomdooma,125,Dilip Moran,Bharatiya Janata Party
44,Dudhnoi,36,Sib Charan Basumatary,Indian National Congress
45,Duliajan,118,Amiya Gogoi,Indian National Congress
46,Gahpur,78,Smti Monika Bora,Indian National Congress
47,Gauhati East,53,Capt. Robin Bordoloi.,Indian National Congress
48,Gauhati West,54,Hementa Talukdar.,Indian National Congress
49,Gauripur,24,Banendra Kumar Mushahary,Bodoland Peoples Front
50,Goalpara East,37,Monowar Hussain,All India United Democratic Front
51,Goalpara West,38,Sheikh Shah Alam,All India United Democratic Front
52,Golaghat,95,Ajanta Neog,Indian National Congress
