Sl No,ConstituencyName,ConstituencyNumber,Member of Legislative Assembly,Political Party,Extra_Data_1
27,Chapaguri,63,Hitesh Basumatary,Bodoland Peoples Front,151
28,Chaygaon,49,Rekibuddin Ahmed,Indian National Congress,493
29,Chenga,47,Sukur Ali Ahmed,Indian National Congress,230
30,Dalgaon,68,Ilias Ali,Indian National Congress,68
31,Dergaon,97,Aroti Hazarika Kachari,Indian National Congress,569
32,Dhakuakhana,112,Naba Kumar Doley,Asom Gana Parishad,516
33,Dharmapur,61,Nilamani Sen Deka,Indian National Congress,108
34,Dhekiajuli,71,Habul Chakraborty,Indian National Congress,645
35,Dhemaji,113,Sumitra Doley Patir,Indian National Congress,971
36,Dhing,83,Aminul Islam,All India United Democratic Front,610
37,Dholai,11,Girindra Mallik,Indian National Congress,781
38,Dhubri,23,Jahan Uddin,All India United Democratic Front,84
39,Dibrugarh,116,Prasanta Phukan,Bharatiya Janata Party,57
