Sl No,ConstituencyName,ConstituencyNumber,Member of Legislative Assembly,Political Party,Dummy_Col_1,Random_Column_2,Unused_3
14,Bhabanipur,41,Abul Kalam Azad,All India United Democratic Front,fXGizSiT,Lrxbh,
15,Bihali,77,Pallab Lochan Das,Indian National Congress,SnnHoejv,YLSvfCN,
16,Bihpuria,109,Bhupen Kumar Bora,Indian National Congress,JqAaF,79bYMOQ,
17,Bijni,33,Kamalshing Narzary,Bodoland Peoples Front,VjVmPE,3vA9g7OU,
18,Bilasipara East,27,Gul Akhtara Begum,All India United Democratic Front,BbmBMon,St4CiCx,
19,Bilasipara West,26,Hafiz Bashir Ahmed,All India United Democratic Front,FWnkWzz,Qg2d7mE,
20,Biswanath,76,Prabin Hazarika,Asom Gana Parishad,QEkBt,eKWRv,
21,Bokajan,17,Klengdoon Engti,Indian National Congress,BgrPGeHe,rx9wKC,
22,Bokakhat,93,Arun Phukan,Indian National Congress,XVXqrq,f8Sc28bo,
23,Boko,48,Gopi Nath Das,All India United Democratic Front,OOOhenGK,kyOHk44l,
24,Bongaigaon,32,Phani Bhusan Choudhury,Asom Gana Parishad,gRwEmfl,fTOJw08,
25,Borchalla,72,Tanka Bahadur Rai,Indian National Congress,guTnKQ,oXRN1qJ,
26,Chabua,121,Raju Sahunn,Indian National Congress,SBMoCII,0ngrk,
