Sl No,ConstituencyName,ConstituencyNumber,Member of Legislative Assembly,Political Party
79,Lakhimpur,111,Utpal Dutta,Asom Gana Parishad
80,Lakhipur,13,Dinesh Prasad Goala,Indian National Congress
81,Lumding,92,Swapan Kar,All India United Democratic Front
82,Mahmara,105,Sarat Saikia,Indian National Congress
83,Majuli,99,Sri Rajib Lochan Pegu,Indian National Congress
84,Mangaldoi,67,Basanta Das,Indian National Congress
85,Mankachar,21,Zabed Islam,Independent
86,Margherita,124,Pradyut Bordoloi,Indian National Congress
87,Mazbat,70,Rakheswar Brahma,Bodoland Peoples Front
88,Moran,115,Jibontara Ghatowar,Indian National Congress
89,Moriani,101,Rupjyoti Kurmi,Indian National Congress
90,Morigaon,80,Jonjonali Baruah,Indian National Congress
