Rank,Player,County,Tally,Total,Opposition,Noise_Field_1,Extra_Data_2,Random_Column_3
14,Brendan Cummins,Cork,3-1,10,Wexford,MqfwbWsU,641,AdErRJ
14,P. J. Molloy,Galway,3-1,10,Kerry,hKbWU,584,9lzkE
14,Nick Behan,Kildare,3-1,10,Kerry,pSmXSXbA,548,5ze2X3bS
14,Seánie O'Leary,Cork,3-1,10,Limerick,TRXdFE,342,Gy1aC
14,Michael Keating,Tipperary,2-4,10,Wexford,mjsJvK,82,5vQmsT
14,Séamus Richmond,Antrim,2-4,10,Westmeath,LUaEQsi,637,LbfzJHR
14,Declan Lovett,Kerry,2-4,10,Waterford,NLliFmh,285,kzJIs
14,Michael Keating,Tipperary,2-4,10,Dublin,BxCgs,886,AS1Z8WK
14,Eddie Keher,Kilkenny,2-4,10,Dublin,RGxuA,211,tVWsb9O
14,Mick Dwan,Kildare,2-4,10,Antrim,IQWivC,379,XU5Yco
14,Charlie McCarthy,Cork,1-7,10,Kilkenny,bAJgXWZZ,628,TL1Hs
14,Paddy Fahy,Galway,0-10,10,Kerry,ffkgkLv,885,NjIJbDJ
14,Johnny Walsh,Kildare,0-10,10,Westmeath,DDBdW,458,gL6xj0
