Rank,Player,County,Tally,Total,Opposition
27,P Flynn,Wexford,3-0,9,Offaly
27,N Casey,Clare,3-0,9,Cork
27,Willie Moore,Limerick,3-0,9,Cork
27,Ger Cuddy,Laois,3-0,9,Westmeath
27,Tom Ryan,Galway,3-0,9,Laois
27,Seánie O'Leary,Cork,3-0,9,Offaly
27,P Flynn,Wexford,2-3,9,Cork
27,Eddie Keher,Kilkenny,2-3,9,Limerick
27,Johnny Walsh,Kildare,1-6,9,Galway
27,Francis Loughnane,Tipperary,1-6,9,Cork
27,Richie Bennis,Limerick,1-6,9,Cork
27,Pat Enright,Waterford,0-9,9,Kildare
27,Johnny Walsh,Kildare,0-9,9,Kerry
