Rank,Player,County,Tally,Total,Opposition,Filler_1,Filler_2
1,Éamonn Flynn,Dublin,3-5,14,Wexford,QqjAMu,KPcel
1,Charlie McCarthy,Cork,2-8,14,Galway,ovETm,ZSNmozEf
3,Paddy Fahy,Galway,2-7,13,Kildare,CioHkuT,WVSnqUyo
3,T. Morrissey,Wicklow,2-7,13,Laois,hDPJjkfW,FedVTm
5,Charlie McCarthy,Cork,3-3,12,Offaly,KzMlskR,yjnbE
5,Michael Moroney,Clare,2-6,12,Dublin,saVnW,whngUR
5,Declan Lovett,Kerry,1-9,12,Galway,HEabudo,VUKOVCW
5,Charlie McCarthy,Cork,1-9,12,Tipperary,lfDmD,kBebC
9,Ger Cuddy,Laois,3-2,11,Wicklow,IoNjUm,LBcoJFI
9,Pat Enright,Waterford,2-5,11,Kerry,nrwCFzf,beLNN
9,Pat Enright,Waterford,1-8,11,Laois,oldFK,aAMDR
9,Johnny Walsh,Kildare,0-11,11,Waterford,KkuoS,IBfHy
9,Eddie Keher,Kilkenny,0-11,11,Wexford,Qfwlmxb,GZENkA
