Rank,Bib,Name,Country,Time,Deficit
12,33,Eldar Rønning,Norway,40:02.8,+1:33.1
13,53,Martin Johnsrud Sundby,Norway,40:07.4,+1:37.7
14,29,Jens Filbrich,Germany,40:08.5,+1:38.8
15,28,Lars Nelson,Sweden,40:08.8,+1.39.1
16,47,Dmitry Japarov,Russia,40:10.7,+1:41.0
17,40,Sami Jauhojärvi,Finland,40.14.4,+1:44.7
18,45,Pål Golberg,Norway,40:14.5,+1.44.8
19,42,Stanislav Volzhentsev,Russia,40:15.0,+1:45.3
20,41,Matti Heikkinen,Finland,40:17.8,+1:48.1
21,44,Jean-Marc Gaillard,France,40:22.8,+1:53.1
22,25,Curdin Perl,Switzerland,40:27.8,+1:58.1
