Rank,Bib,Name,Country,Time,Deficit,Extra_Data_1,Random_Column_2,Unused_3
83,84,Federico Cichero,Argentina,49:11.3,+10:41.6,189,VPmc2SA,
84,88,Tucker Murphy,Bermuda,49:19.9,+10:50.2,734,ZvSmJ9Fq,
85,89,Nadeem Iqbal,India,55:12.5,+16:42.8,828,7fN4l,
86,91,Dachhiri Sherpa,Nepal,55:39.3,+17:09.6,458,2qwnFJs,
87,92,Roberto Carcelen,Peru,1:06:28.9,+27:59.2,89,vuyV3E,
,50,Alex Harvey,Canada,DNF,,971,cqg9jXp,
,82,Jānis Paipals,Latvia,DNF,,311,Z1AIwM,
,77,Rejhan Šmrković,Serbia,DNF,,262,YHQzJ,
,90,Gary di Silvestri,Dominica,DNF,,300,uePAgmD,
,76,Artur Yeghoyan,Armenia,DNS,,546,7pGrjvKs,
