Year,Game of the Year,Abstract strategy,Advanced strategy,Family,Family card,Family strategy,Party,Puzzle,Word,Historical simulation,Other
2004,New England,Clans,Wildlife,I'm the Boss!,Queen's Necklace,Zoosim,Party/Trivia: Dibs,River Crossing,Crossword Pyramids,Hammer of the Scots,Two-Player Card: Balloon Cup
2005,BuyWord,YINSH,Tahuantinsuyu: The Rise of the Inca Empire,Vanished Planet,Victory & Honor,Alexandros,Party/Trivia: Cranium Hoopla,-,-,Memoir '44,-
2006,Australia,Project Kells,Louis XIV,Der Untergang von Pompeji (Escape from Pompeii),Die Weinhändler (The Wine Merchants),Primordial Soup (a.k.a. Ursuppe),Party/Trivia: Snorta!,Tipover,-,Friedrich,Two-Player: Jambo
2007,Vegas Showdown,PÜNCT,Reef Encounter,Tricky Town,"Trump, Tricks, Game!",Hacienda,Wits and Wagers,Gordian's Knot,Parlay,Silent War,-
2008,Pillars of the Earth,Easter Island,Khronos,If Wishes Were Fishes,Bull in a China Shop,Shear Panic,Gift Trap,Sacred Myths and Legends Series,Unspeakable Words,Ran,-
2009,Tzaar,Ponte del Diavolo,Key Harvest,Pandemic,Palast Geflüster (Palace Whisperings),Stone Age,Go Nuts!,Doris,Jumbulaya,Pacific Typhoon,-
2010,Small World,Blox,Le Havre,Roll Through the Ages: The Bronze Age,Amerigo,Dominion/Dominion Intrigue (Expansion),Dixit,La Ora Stelo,-,Fields of Fire,-
2011,Jump Gate,Arimaa,Egizia,Burger Joint,Jaipur,Valdora,Telestrations,Anti-Virus,-,Battles of Napoleon: The Eagle and the Lion,-
2012,Tikal II: The Lost Temple,Confusion: Espionage and Deception in the Cold War,Die Burgen von Burgund (The Castles of Burgundy),Lemming Mafia,Hey Waiter!,Glen More,Funfair,IQ Twist,Pathwords,Command and Colors: Napoleonics,-
2013,Trajan,Matter,Village,Takenoko,Decktet/Decktet Book,Zong Shi,Pluckin' Pairs,Cool Circuits,Kerflip!,-,-
2014,Garden Dice/The Card Expansion,Kulami,Tzolk'in: The Mayan Calendar,Via Appia,Morels,Triassic Terror,Homestretch: Race to the Finish,Laser Maze,-,-,-
