Judge,Court,Began activeservice,Ended activeservice,Ended seniorstatus,Random_Column_1
Hector Manuel Laffitte,D.P.R.,"July 27, 1983","November 15, 2005","February 16, 2007",InuhI6V
Ronald Rene Lagueux,D.R.I.,"March 4, 1986","November 30, 2001",Incumbent,wQ2Hll2
Sim Lake,S.D. Tex.,"August 12, 1988",Incumbent,–,enF1L
Royce C. Lamberth,D.D.C.,"November 16, 1987","July 15, 2013",Incumbent,X96oHMYn
David G. Larimer,W.D.N.Y.,"November 6, 1987","March 3, 2009",Incumbent,RNUMKes
Edward Leavy,D. Or.,"May 3, 1984","April 8, 1987",–,V0xCxF
"Alfred James Lechner, Jr.",D.N.J.,"June 9, 1986","October 1, 2001",–,FGzzXTT
Tom Stewart Lee,S.D. Miss.,"June 11, 1984","April 8, 2006",Incumbent,BfXG1
William Charles Lee,N.D. Ind.,"July 28, 1981","February 3, 2003",Incumbent,YLHRCjA
Charles A. Legge,N.D. Cal.,"September 18, 1984","June 30, 2001",–,qqOmBQ3I
Harry Daniel Leinenweber,N.D. Ill.,"December 17, 1985","June 3, 2002",Incumbent,IPBZphzo
Peter K. Leisure,S.D.N.Y.,"June 15, 1984","March 21, 1997","September 17, 2013",gb3teP
John Spencer Letts,C.D. Cal.,"December 17, 1985","December 19, 2000",Incumbent,Xoynrco1
Ronald S.W. Lew,C.D. Cal.,"May 7, 1987","September 19, 2006",Incumbent,60VDQr
John C. Lifland,D.N.J.,"May 20, 1988","June 15, 2001","May 31, 2007",P3qmH
"Stephen N. Limbaugh, Sr.",W.D. Mo.E.D. Mo.,"July 19, 1983","May 1, 1996","July 31, 2008",BLPa8Icv
"F. A. Little, Jr.",W.D. La.,"October 12, 1984","May 30, 2002","May 15, 2006",saUVCn
"Marcel Livaudais, Jr.",E.D. La.,"September 18, 1984","December 31, 1996","December 31, 2008",oXnKL7p
Joseph J. Longobardi,D. Del.,"May 3, 1984","June 15, 1997",Incumbent,SEcQXA
Charles C. Lovell,D. Mont.,"April 4, 1985","June 14, 2000",Incumbent,O1gSf
Rodolfo Lozano,N.D. Ind.,"February 26, 1988","July 10, 2007",Incumbent,PC52aSjY
Edmund V. Ludwig,E.D. Pa.,"October 17, 1985","May 20, 1997",Incumbent,WDcAt1BA
Eugene F. Lynch,N.D. Cal.,"March 9, 1982","March 14, 1997","July 12, 1997",A8lat
Paul A. Magnuson,D. Minn.,"October 29, 1981","February 9, 2002",Incumbent,fkdEuO
Robert B. Maloney,N.D. Tex.,"October 17, 1985","August 31, 2000",Incumbent,t1fXj6
Carol Los Mansmann,W.D. Pa.,"March 19, 1982","April 22, 1985",–,nWq58235
Stanley Marcus,S.D. Fla.,"July 18, 1985","November 23, 1997",–,0J2QejhC
George Michael Marovich,N.D. Ill.,"April 1, 1988","January 2, 2000",Incumbent,wwguxv
Malcolm F. Marsh,D. Or.,"March 24, 1987","April 16, 1998",Incumbent,0bQ4zO
