Judge,Court,Began activeservice,Ended activeservice,Ended seniorstatus
Robert S. Gawthrop III,E.D. Pa.,"December 9, 1987","August 1, 1999",–
Lloyd D. George,D. Nev.,"May 3, 1984","December 1, 1997",Incumbent
Walter J. Gex III,S.D. Miss.,"February 26, 1986","March 24, 2004",Incumbent
Julia Smith Gibbons,W.D. Tenn.,"June 7, 1983","August 2, 2002",–
John R. Gibson,W.D. Mo.,"September 19, 1981","March 30, 1982",–
I. Leo Glasser,E.D.N.Y.,"December 10, 1981","July 1, 1993",Incumbent
James L. Graham,S.D. Ohio,"September 26, 1986","August 31, 2004",Incumbent
"John Thomas Greene, Jr.",D. Utah,"April 4, 1985","November 28, 1997","February 11, 2011"
"George F. Gunn, Jr.",E.D. Mo.,"May 10, 1985","December 1, 1996","May 20, 1998"
Barbara Kloka Hackett,E.D. Mich.,"April 7, 1986","April 8, 1997","March 1, 2000"
Cynthia Holcomb Hall,C.D. Cal.,"November 18, 1981","October 4, 1984",–
Sam Blakeley Hall Jr.,E.D. Tex.,"May 10, 1985","April 10, 1994",–
Elizabeth Virginia Hallanan,S.D.W.Va.,"November 14, 1983","December 1, 1996","June 8, 2004"
Clyde H. Hamilton,D.S.C.,"December 1, 1981","July 31, 1991",–
David Rasmussen Hansen,N.D. Iowa,"March 4, 1986","November 18, 1991",–
"John R. Hargrove, Sr.",D. Md.,"February 10, 1984","February 21, 1994","April 1, 1997"
Edward Francis Harrington,D. Mass.,"February 22, 1988","March 1, 2001",Incumbent
Stanley S. Harris,D.D.C.,"November 14, 1983","February 1, 1996","June 2, 2001"
William Thomas Hart,N.D. Ill.,"April 21, 1982","June 1, 1996",Incumbent
"Hayden Wilson Head, Jr.",S.D. Tex.,"October 26, 1981","November 12, 2009",Incumbent
Karen L. Henderson,D.S.C.,"June 16, 1986","July 11, 1990",–
Thomas Aquinas Higgins,M.D. Tenn.,"October 4, 1984","February 28, 1999",Incumbent
Claude M. Hilton,E.D. Va.,"July 11, 1985","December 31, 2005",Incumbent
Ricardo Hinojosa,S.D. Tex.,"May 5, 1983",Incumbent,–
David Hittner,S.D. Tex.,"June 9, 1986","November 11, 2004",Incumbent
Thomas F. Hogan,D.D.C.,"August 20, 1982","May 1, 2008",Incumbent
James F. Holderman,N.D. Ill.,"April 4, 1985","December 31, 2013",Incumbent
Hezekiah Russel Holland,D. Alaska,"July 16, 1984","September 18, 2001",Incumbent
"Alex T. Howard, Jr.",S.D. Ala.,"October 14, 1986","October 21, 1996","February 10, 2011"
