Judge,Court,Began activeservice,Ended activeservice,Ended seniorstatus,Random_Column_1
Layn R. Phillips,W.D. Okla.,"June 15, 1987","June 22, 1991",–,Fb151pBb
Jaime Pieras Jr.,D.P.R.,"July 15, 1982","August 1, 1993","June 11, 2011",a3uum
Paul Edward Plunkett,N.D. Ill.,"December 10, 1982","July 10, 1998",Incumbent,CLxd4
Nicholas H. Politan,D.N.J.,"November 9, 1987","January 4, 2002",–,xFVpNFM
John Carbone Porfilio,D. Colo.,"June 25, 1982","May 13, 1985",–,gbtgIE
John William Potter,N.D. Ohio,"June 21, 1982","August 1, 1992","October 3, 2013",rc5tE
Robert Daniel Potter,W.D.N.C.,"October 29, 1981","May 1, 1994","July 2, 2009",w21EM10
Edward C. Prado,W.D. Tex.,"March 30, 1984","May 13, 2003",–,FLCtJ
Philip Martin Pro,D. Nev.,"July 23, 1987","December 31, 2011",Incumbent,XWvPvMq
Edward Rafeedie,C.D. Cal.,"September 24, 1982","January 6, 1996","March 25, 2008",gLwOxIS
Reena Raggi,E.D.N.Y.,"May 7, 1987","October 7, 2002",–,do4RdgZ
William J. Rea,C.D. Cal.,"June 15, 1984","March 31, 1998","August 3, 2005",mPUME
Stephen M. Reasoner,E.D. Ark.,"February 26, 1988","September 17, 2002","August 14, 2004",RLSoUy
"Lowell A. Reed, Jr.",E.D. Pa.,"April 20, 1988","June 21, 1999",Incumbent,RMvpq
George Hughes Revercomb,D.D.C.,"December 17, 1985","August 1, 1993",–,KwBvqa
"John Skylstead Rhoades, Sr.",S.D. Cal.,"October 28, 1985","November 4, 1995","September 3, 2007",OO0ZBjoO
Ross Thompson Roberts,W.D. Mo.,"August 20, 1982","April 24, 1987",–,VHUi4Lv
Joseph H. Rodriguez,D.N.J.,"May 10, 1985","May 22, 1998",Incumbent,2SkO9
James M. Rosenbaum,D. Minn.,"July 18, 1985","October 26, 2009","August 25, 2010",edIYqmj
Paul Gerhardt Rosenblatt,D. Ariz.,"June 11, 1984","October 30, 2003",Incumbent,xqs82mU
Jane Richards Roth,D. Del.,"November 4, 1985","July 22, 1991",–,fvdKlQd
Ilana Rovner,N.D. Ill.,"September 12, 1984","August 17, 1992",–,zoe6bV
David Lynn Russell,W.D. Okla.N.D. Okla.E.D. Okla.,"December 17, 1981","July 7, 2013December 1, 1990December 1, 1990",Incumbentn/an/a,YOMzwffR
Harold Lyman Ryan,D. Idaho,"December 17, 1981","December 30, 1992","April 10, 1995",jTVLe
Pamela Ann Rymer,C.D. Cal.,"February 24, 1983","May 23, 1989",–,blS7XCW
Kenneth Ryskamp,S.D. Fla.,"April 24, 1986","January 1, 2000",Incumbent,5Pl3o
David Sam,D. Utah,"October 16, 1985","November 1, 1999",Incumbent,3oK28pIf
Richard A. Schell,E.D. Tex.,"June 6, 1988",Incumbent,–,Awo289qD
Anthony Joseph Scirica,E.D. Pa.,"September 18, 1984","September 11, 1987",–,t6mUZync
