Judge,Court,Began activeservice,Ended activeservice,Ended seniorstatus
Robert Jensen Bryan,W.D. Wash.,"May 7, 1986","November 1, 2000",Incumbent
Frank William Bullock Jr.,M.D.N.C.,"December 10, 1982","December 31, 2005","August 1, 2006"
Charles Randolph Butler Jr.,S.D. Ala.,"October 17, 1988","March 28, 2005",Incumbent
James C. Cacheris,E.D. Va.,"December 1, 1981","March 30, 1998",Incumbent
William W. Caldwell,M.D. Pa.,"March 19, 1982","May 31, 1994",Incumbent
William G. Cambridge,D. Neb.,"June 6, 1988","July 11, 2000",–
Jack Tarpley Camp Jr.,N.D. Ga.,"April 20, 1988","December 31, 2008","November 19, 2010"
Gene Carter,D. Me.,"June 23, 1983","January 2, 2003",Incumbent
Miriam Goldman Cedarbaum,S.D.N.Y.,"March 4, 1986","March 31, 1998",Incumbent
Constantine George Cholakis,N.D.N.Y.,"March 17, 1986","June 30, 1996","December 1, 1996"
Howell Cobb,E.D. Tex.,"April 4, 1985","March 1, 2001","September 16, 2005"
Kenneth Conboy,S.D.N.Y.,"December 21, 1987","December 31, 1993",–
Suzanne B. Conlon,N.D. Ill.,"February 22, 1988","April 17, 2004",Incumbent
Patrick Anthony Conmy,D.N.D.,"December 17, 1985","January 5, 2000",Incumbent
John Edwards Conway,D.N.M.,"June 16, 1986","September 1, 2000",Incumbent
John C. Coughenour,W.D. Wash.,"September 28, 1981","July 27, 2006",Incumbent
Robert Cowen,D.N.J.,"November 4, 1985","November 16, 1987",–
Emmett Ripley Cox,S.D. Ala.,"November 18, 1981","April 25, 1988",–
Robert Everett Coyle,E.D. Cal.,"April 1, 1982","May 13, 1996","May 7, 2012"
Sam A. Crow,D. Kan.,"December 10, 1981","November 15, 1996",Incumbent
Samuel Ray Cummings,N.D. Tex.,"December 9, 1987",Incumbent,–
Thomas John Curran,E.D. Wis.,"November 7, 1983","January 1, 1997","July 17, 2012"
Conrad K. Cyr,D. Me.,"September 28, 1981","November 20, 1989",–
Richard J. Daronco,S.D.N.Y.,"May 7, 1987","May 21, 1988",–
Glen H. Davidson,N.D. Miss.,"October 17, 1985","June 1, 2007",Incumbent
John Davies,C.D. Cal.,"June 9, 1986","July 18, 1998",–
Raymond J. Dearie,E.D.N.Y.,"March 19, 1986","April 3, 2011",Incumbent
Carolyn R. Dimmick,W.D. Wash.,"April 4, 1985","November 1, 1997",Incumbent
Peter Collins Dorsey,D. Conn.,"July 19, 1983","January 2, 1998","January 21, 2012"
