Judge,Court,Began activeservice,Ended activeservice,Ended seniorstatus
William Marsh Acker Jr.,N.D. Ala.,"August 18, 1982","May 31, 1996",Incumbent
Raymond L. Acosta,D.P.R.,"September 30, 1982","June 1, 1994",Incumbent
James Henry Alesia,N.D. Ill.,"May 20, 1987","February 1, 1998","July 24, 2003"
Wayne Edward Alley,W.D. Okla.,"July 11, 1985","May 16, 1999",Incumbent
Frank X. Altimari,E.D.N.Y.,"December 10, 1982","December 23, 1985",–
"Joseph Fletcher Anderson, Jr.",D.S.C.,"October 14, 1986",Incumbent,–
Richard Joseph Arcara,W.D.N.Y.,"February 22, 1988",Incumbent,–
Morris S. Arnold,W.D. Ark.,"December 17, 1985","June 1, 1992",–
Lewis Thornton Babcock,D. Colo.,"October 17, 1988","April 4, 2008",Incumbent
Bobby Ray Baldock,D.N.M.,"June 7, 1983","January 24, 1986",–
"William Henry Barbour, Jr.",S.D. Miss.,"April 25, 1983","February 4, 2006",Incumbent
Sarah Evans Barker,S.D. Ind.,"March 14, 1984",Incumbent,–
Maryanne Trump Barry,D.N.J.,"October 7, 1983","October 25, 1999",–
D. Brook Bartlett,W.D. Mo.,"September 19, 1981","January 21, 2000",–
Alice M. Batchelder,N.D. Ohio,"April 4, 1985","January 4, 1992",–
Richard Howard Battey,D.S.D.,"October 28, 1985","January 1, 1999",Incumbent
Clarence Arlen Beam,D. Neb.,"November 18, 1981","November 9, 1987",–
Robert Holmes Bell,W.D. Mich.,"July 2, 1987",Incumbent,–
Samuel H. Bell,N.D. Ohio,"December 22, 1982","October 30, 1996","December 23, 2010"
Neal Brooks Biggers Jr.,N.D. Miss.,"March 28, 1984","October 1, 2000",Incumbent
"Franklin S. Billings, Jr.",D. Vt.,"June 15, 1984","September 9, 1994",Incumbent
John Winslow Bissell,D.N.J.,"December 10, 1982","September 1, 2005",–
Walter Evan Black Jr.,D. Md.,"April 21, 1982","October 21, 1994",Incumbent
Terrence Boyle,E.D.N.C.,"May 3, 1984",Incumbent,–
Rudi M. Brewster,S.D. Cal.,"June 15, 1984","July 1, 1998","September 7, 2012"
Robert C. Broomfield,D. Ariz.,"July 11, 1985","August 12, 1999",Incumbent
Garrett E. Brown Jr.,D.N.J.,"December 17, 1985","January 2, 2012","January 26, 2012"
Paul Neeley Brown,E.D. Tex.,"October 17, 1985","April 1, 2001","November 26, 2012"
William Docker Browning,D. Ariz.,"May 3, 1984","May 14, 1998","February 26, 2008"
