Judge,Court,Began activeservice,Ended activeservice,Ended seniorstatus
David Singleton Doty,D. Minn.,"May 8, 1987","June 30, 1998",Incumbent
Robert G. Doumar,E.D. Va.,"December 3, 1981","April 30, 1996",Incumbent
David Dudley Dowd Jr.,N.D. Ohio,"September 23, 1982","June 30, 1996",Incumbent
Joel Fredrick Dubina,M.D. Ala.,"September 15, 1986","October 5, 1990",–
Jan E. DuBois,E.D. Pa.,"July 27, 1988","April 15, 2002",Incumbent
Brian Barnett Duff,N.D. Ill.,"October 17, 1985","October 30, 1996",Incumbent
Patrick J. Duggan,E.D. Mich.,"October 14, 1986","September 29, 2000",Incumbent
John Malcolm Duhe Jr.,W.D. La.,"June 11, 1984","November 9, 1988",–
William Lee Dwyer,W.D. Wash.,"November 6, 1987","December 1, 1998","February 12, 2002"
Robert Allan Edgar,E.D. Tenn.,"April 16, 1985","October 7, 2005",Incumbent
"T. S. Ellis, III",E.D. Va.,"August 6, 1987","April 1, 2007",Incumbent
David Alan Ezra,D. Haw.,"May 20, 1988","June 27, 2012",Incumbent
"Joseph James Farnan, Jr.",D. Del.,"July 18, 1985","July 31, 2010",–
Patricia C. Fawsett,M.D. Fla.,"June 9, 1986","August 25, 2008",Incumbent
Martin Leach-Cross Feldman,E.D. La.,"October 5, 1983",Incumbent,–
Ferdinand Francis Fernandez,C.D. Cal.,"October 17, 1985","May 24, 1989",–
A. Joe Fish,N.D. Tex.,"February 24, 1983","November 12, 2007",Incumbent
Duross Fitzpatrick,M.D. Ga.,"December 17, 1985","February 1, 2001","January 6, 2008"
Sidney A. Fitzwater,N.D. Tex.,"March 19, 1986",Incumbent,–
Harold Michael Fong,D. Haw.,"June 21, 1982","April 20, 1995",–
Karl Spillman Forester,E.D. Ky.,"July 27, 1988","May 2, 2005","March 29, 2014"
J. Owen Forrester,N.D. Ga.,"December 10, 1981","April 27, 2004",Incumbent
James Carroll Fox,E.D.N.C.,"September 30, 1982","January 31, 2001",Incumbent
Bernard A. Friedman,E.D. Mich.,"April 20, 1988","January 1, 2009",Incumbent
José A. Fusté,D.P.R.,"October 28, 1985",Incumbent,–
Richard Arthur Gadbois Jr.,C.D. Cal.,"July 28, 1982","January 24, 1996","October 2, 1996"
Paul V. Gadola,E.D. Mich.,"October 17, 1988","January 31, 2001",Incumbent
Edward J. Garcia,E.D. Cal.,"March 14, 1984","November 24, 1996","November 30, 2012"
Emilio M. Garza,W.D. Tex.,"April 20, 1988","June 7, 1991",–
