Judge,Court,Began activeservice,Ended activeservice,Ended seniorstatus
"Thomas E. Scott, Jr.",S.D. Fla.,"July 18, 1985","October 31, 1990",–
Bruce M. Selya,D.R.I.,"August 18, 1982","November 24, 1986",–
David B. Sentelle,W.D.N.C.,"October 17, 1985","October 19, 1987",–
John C. Shabaz,W.D. Wis.,"December 10, 1981","January 20, 2009","August 31, 2012"
G. Kendall Sharp,M.D. Fla.,"November 16, 1983","January 1, 2000",Incumbent
Charles Ralph Simpson III,W.D. Ky.,"August 4, 1986","February 1, 2013",Incumbent
Frederic N. Smalkin,D. Md.,"September 26, 1986","January 8, 2003",Incumbent
D. Brooks Smith,W.D. Pa.,"October 17, 1988","September 23, 2002",–
Fern M. Smith,N.D. Cal.,"July 27, 1988","May 15, 2003","June 30, 2005"
George Curtis Smith,S.D. Ohio,"November 9, 1987","January 1, 2002",Incumbent
"Walter Scott Smith, Jr.",W.D. Tex.,"October 4, 1984",Incumbent,–
James R. Spencer,E.D. Va.,"October 14, 1986",Incumbent,–
Stanley Sporkin,D.D.C.,"December 17, 1985","February 12, 1999","January 15, 2000"
John E. Sprizzo,S.D.N.Y.,"September 28, 1981","January 1, 2000","December 16, 2008"
Joseph Peter Stadtmueller,E.D. Wis.,"June 1, 1987",Incumbent,–
William Lloyd Standish,W.D. Pa.,"November 6, 1987","March 1, 2002",Incumbent
Louis L. Stanton,S.D.N.Y.,"July 18, 1985","October 1, 1996",Incumbent
"Joseph Edward Stevens, Jr.",W.D. Mo.E.D. Mo.,"September 18, 1981","July 1, 1995","December 18, 1998"
William Donald Stiehl,S.D. Ill.,"June 16, 1986","November 30, 1996",Incumbent
Alicemarie Huber Stotler,C.D. Cal.,"May 3, 1984","January 5, 2009",Incumbent
Roger Gordon Strand,D. Ariz.,"July 22, 1985","April 28, 2000",Incumbent
Lyle Elmer Strom,D. Neb.,"October 28, 1985","November 2, 1995",Incumbent
Richard Fred Suhrheinrich,E.D. Mich.,"October 4, 1984","July 13, 1990",–
Michael Anthony Telesca,W.D.N.Y.,"April 21, 1982","May 3, 1996",Incumbent
Dickran M. Tevrizian Jr.,C.D. Cal.,"December 17, 1985","August 5, 2005","April 19, 2007"
"Norwood Carlton Tilley, Jr.",M.D.N.C.,"October 17, 1988","December 16, 2008",Incumbent
John Daniel Tinder,S.D. Ind.,"August 10, 1987","December 21, 2007",–
James Dale Todd,W.D. Tenn.,"July 11, 1985","May 20, 2008",Incumbent
Ernest C. Torres,D.R.I.,"November 6, 1987","December 1, 2006","June 1, 2011"
