Judge,Court,Began activeservice,Ended activeservice,Ended seniorstatus,Filler_1,Irrelevant_2,Unused_3
Jerome Turner,W.D. Tenn.,"December 9, 1987","February 12, 2000",–,vXNyv,gWelau7,
Franklin Stuart Van Antwerpen,E.D. Pa.,"December 9, 1987","June 1, 2004",–,WDHpyd,2dtZKo,
Roger Vinson,N.D. Fla.,"October 5, 1983","March 31, 2005",Incumbent,FZARi,YTaiWJ,
Richard Lesley Voorhees,W.D.N.C.,"October 17, 1988",Incumbent,–,rSxRIA,uhozT,
John P. Vukasin Jr.,N.D. Cal.,"September 20, 1983","September 20, 1993",–,ottNHP,PIxHfz,
Jay Waldman,E.D. Pa.,"October 17, 1988","May 30, 2003",–,EbJdY,D6tXuUx,
"John M. Walker, Jr.",S.D.N.Y.,"July 22, 1985","December 19, 1989",–,ZMDsPIa,p9CB7,
Donald Ellsworth Walter,W.D. La.,"July 11, 1985","November 30, 2001",Incumbent,NvbGrldu,HZa3l,
Hugh Franklin Waters,W.D. Ark.,"October 26, 1981","August 1, 1997","April 16, 2002",bOxHWlJ,eJnCG,
Rodney Scott Webb,D.N.D.,"December 21, 1987","December 31, 2001","August 9, 2009",lmpbvLlS,ITxB1u,
Herman Jacob Weber,S.D. Ohio,"April 4, 1985","January 1, 2002",Incumbent,zcmkD,d9t8DP8X,
Leonard D. Wexler,E.D.N.Y.,"June 22, 1983","June 30, 1994",Incumbent,veiBuAVW,XXgift,
Dean Whipple,W.D. Mo.,"December 9, 1987","April 30, 2007",Incumbent,STEbtDW,fCpBO,
"Henry Rupert Wilhoit, Jr.",E.D. Ky.,"September 28, 1981","December 31, 2000",Incumbent,rhHJj,tbNRHShM,
William Walter Wilkins,D.S.C.,"July 22, 1981","July 10, 1986",–,thhfByk,4GUrJF,
Ann Claire Williams,N.D. Ill.,"April 4, 1985","November 17, 1999",–,DoyXj,WdudSkC,
Stephen Victor Wilson,C.D. Cal.,"October 17, 1985",Incumbent,–,DFrCNMH,dnYht,
Henry Travillion Wingate,S.D. Miss.,"October 17, 1985",Incumbent,–,apbQZ,aX751oAl,
Mark Lawrence Wolf,D. Mass.,"April 4, 1985","January 1, 2013",Incumbent,Cindi,7hPOtR,
Alfred M. Wolin,D.N.J.,"December 9, 1987","September 18, 2000","June 30, 2004",AOHfGaH,rvppgmv,
Charles Robert Wolle,S.D. Iowa,"August 6, 1987","October 16, 2001",Incumbent,iriFoH,KL6UW8C4,
Kimba Wood,S.D.N.Y.,"April 20, 1988","June 1, 2009",Incumbent,YeZLost,gEEZC,
Douglas Preston Woodlock,D. Mass.,"June 16, 1986",Incumbent,–,BfHRPSx,NEmPjn4,
George E. Woods,E.D. Mich.,"November 16, 1983","November 16, 1993","August 13, 2004",NpuzLbGD,BiODJ,
William G. Young,D. Mass.,"April 4, 1985",Incumbent,–,hISwQAc,zwm88eil,
James Zagel,N.D. Ill.,"April 22, 1987",Incumbent,–,whGNZzx,FmR34S,
Lawrence Paul Zatkoff,E.D. Mich.,"March 4, 1986","June 16, 2004",Incumbent,mPyvyMq,RA8jB3Ti,
Thomas Samuel Zilly,W.D. Wash.,"April 20, 1988","January 1, 2004",Incumbent,WbJrlVkC,HMAOpi,
William J. Zloch,S.D. Fla.,"November 4, 1985",Incumbent,–,YCEtjo,TTjTs,
