Judge,Court,Began activeservice,Ended activeservice,Ended seniorstatus
Malcolm Jones Howard,E.D.N.C.,"February 26, 1988","December 31, 2005",Incumbent
Kenneth M. Hoyt,S.D. Tex.,"April 1, 1988","March 2, 2013",Incumbent
Lynn Nettleton Hughes,S.D. Tex.,"December 17, 1985",Incumbent,–
Thomas Gray Hull,E.D. Tenn.,"November 14, 1983","October 1, 2002","July 29, 2008"
Harry Lindley Hupp,C.D. Cal.,"March 21, 1984","April 1, 1997","January 27, 2004"
Herbert J. Hutton,E.D. Pa.,"August 12, 1988","September 6, 2003","April 8, 2007"
James M. Ideman,C.D. Cal.,"June 15, 1984","April 2, 1998","September 11, 1998"
J. Lawrence Irving,S.D. Cal.,"July 28, 1982","December 31, 1990",–
Thomas Penfield Jackson,D.D.C.,"June 25, 1982","January 31, 2002","August 31, 2004"
James Howard Jarvis II,E.D. Tenn.,"October 12, 1984","February 28, 2002","June 6, 2007"
Delwen Lowell Jensen,N.D. Cal.,"June 25, 1986","June 27, 1997",Incumbent
Alan Bond Johnson,D. Wyo.,"December 17, 1985",Incumbent,–
John Bailey Jones,D.S.D.,"November 18, 1981","January 1, 1995",Incumbent
Robert Leon Jordan,E.D. Tenn.,"October 17, 1988","November 30, 2001",Incumbent
Michael Stephen Kanne,N.D. Ind.,"February 9, 1982","May 21, 1987",–
Marvin Katz,E.D. Pa.,"August 6, 1983","August 26, 1997","October 12, 2010"
Alan Cooke Kay,D. Haw.,"September 15, 1986","January 2, 2000",Incumbent
John F. Keenan,S.D.N.Y.,"September 20, 1983","December 31, 1996",Incumbent
William Duffy Keller,C.D. Cal.,"October 4, 1984","October 29, 1999",Incumbent
James McGirr Kelly,E.D. Pa.,"August 6, 1983","March 31, 1996","March 5, 2005"
Robert F. Kelly,E.D. Pa.,"June 26, 1987","July 17, 2001",Incumbent
Jackson L. Kiser,W.D. Va.,"December 3, 1981","April 30, 1997",Incumbent
Andrew Kleinfeld,D. Alaska,"May 15, 1986","October 7, 1991",–
Edward R. Korman,E.D.N.Y.,"November 4, 1985","October 25, 2007",Incumbent
Edwin Michael Kosik,M.D. Pa.,"June 16, 1986","July 15, 1996",Incumbent
Elizabeth A. Kovachevich,M.D. Fla.,"March 9, 1982",Incumbent,–
Shirley Wohl Kram,S.D.N.Y.,"March 2, 1983","May 23, 1993","August 21, 2009"
Alvin I. Krenzler,N.D. Ohio,"December 10, 1981","January 1, 1992","July 6, 1992"
George La Plata,E.D. Mich.,"April 4, 1985","August 3, 1996",–
