Number,Event,Type,Matthew,Mark,Luke,John
34,The Lamp under a Bushel,parable,Matthew 05:14–15,Mark 04:21–25,Luke 08:16–18,
35,Expounding of the Law,sermon,Matthew 05:17–48,,Luke 06:29–42,
36,Seventy Disciples,ministry,,,Luke 10:01–24,
37,Discourse on ostentation,sermon,Matthew 06:01–18,,,
38,Parable of the Good Samaritan,parable,,,Luke 10:30–37,
39,Jesus at the home of Martha and Mary,ministry,,,Luke 10:38–42,
40,The Lord's Prayer,ministry,Matthew 06:09–13,,Luke 11:02–04,
41,The Friend at Night,parable,,,Luke 11:05–08,
42,The Rich Fool,parable,,,Luke 12:16–21,
43,Samaritan Woman at the Well,ministry,,,,John 04:04–26
44,The Birds of Heaven,ministry,Matthew 06:25–34,,Luke 12:22–34,
45,Discourse on judging,sermon,Matthew 07:01–05,,Luke 06:41–42,
46,Discourse on holiness,sermon,Matthew 07:13–27,,,
47,The Test of a Good Person,sermon,Matthew 07:15–20,,,
48,The Wise and the Foolish Builders,parable,Matthew 07:24–27,,Luke 06:46–49,
49,Cleansing a leper,miracle,Matthew 08:01–04,Mark 01:40–45,Luke 05:12–16,
