Number,Event,Type,Matthew,Mark,Luke,John
17,Finding Jesus in the Temple,youth,,,Luke 02:41–51,
18,John the Baptist,miscellaneous,,Mark 01:01–08,,
19,Ministry of John the Baptist,miscellaneous,Matthew 03:01–12,,,John 01:19–34
20,Baptism of Jesus,miscellaneous,Matthew 03:13–17,Mark 01:09–11,Luke 03:21–22,
21,Temptation of Jesus,miscellaneous,Matthew 04:01–11,Mark 01:12–13,Luke 04:01–13,
22,Marriage at Cana,miracle,,,,John 02:01–11
24,Jesus & Nicodemus,ministry,,,,John 03:01–21
25,Return of Jesus to Galilee,ministry,Matthew 04:12–12,Mark 01:14–14,,John 04:01–03
26,Exorcism at the Synagogue in Capernaum,miracle,,Mark 01:21–28,Luke 04:31–37,
27,The Growing Seed,parable,,Mark 04:26–29,,
28,Hometown rejection of Jesus,ministry,Matthew 04:13–16,Mark 06:01–06,Luke 04:16–30,
29,First disciples of Jesus,ministry,Matthew 04:18–22,Mark 01:16–20,,John 01:35–51
30,Miraculous draught of fishes,miracle,,,Luke 05:01–11,
31,Beatitudes,sermon,Matthew 05:02–12,,Luke 06:20–23,
32,Young Man from Nain,miracle,,,Luke 07:11–17,
33,The Two Debtors,parable,,,Luke 07:41–43,
