Number,Event,Type,Matthew,Mark,Luke,John
66,Lord of the Sabbath,ministry,Matthew 12:01–08,Mark 02:23–28,,
67,Man with withered Hand,miracle,Matthew 12:09–13,Mark 03:01–06,Luke 06:06–11,
68,The Lord's Prayer,ministry,,,Luke 11:02–04,
69,Exorcising the blind and mute man,miracle,Matthew 12:22–28,Mark 03:20–30,Luke 11:14–23,
70,Parable of the strong man,parable,Matthew 12:29–29,Mark 03:27–27,Luke 11:21–22,
71,Eternal sin,ministry,Matthew 12:30–32,Mark 03:28–29,Luke 12:08–10,
72,Jesus' True Relatives,ministry,Matthew 12:46–50,Mark 03:31–35,Luke 08:19–21,
73,Parable of the Sower,parable,Matthew 13:03–09,Mark 04:03–09,Luke 08:05–08,
74,The Birds of Heaven,ministry,,,Luke 12:22–34,
75,The Tares,parable,Matthew 13:24–30,,,
76,The Barren Fig Tree,parable,,,Luke 13:06–09,
77,An Infirm Woman,miracle,,,Luke 13:10–17,
78,Parable of the Mustard Seed,parable,Matthew 13:31–32,Mark 04:30–32,Luke 13:18–19,
79,The Leaven,parable,Matthew 13:33–33,,Luke 13:20–21,
80,Parable of the Pearl,parable,Matthew 13:44–46,,,
81,Drawing in the Net,parable,Matthew 13:47–50,,,
